CLUSTER,APOGEE_ID,C_O,sigma_CO,C_FE,O_FE,FE_H,FE_H_ERR,SNR,TEFF,LOGG,VHELIO_AVG,RA,DEC,age_gyr,logage,MG_FE,SI_FE,AL_FE,RV_PROB,FEH_PROB,PM_PROB
ASCC 16,2M05241184+0122021,0.5351634618796469,0.020257381481046038,-0.02590799,-0.0148221,-0.10783,0.007435147,216.3101,4476.855,4.514562,21.07651,81.049357,1.367254,0.013489632380568446,7.130000114440918,-0.04644148,-0.016076,-9999.0,0.89,0.97,0.65
ASCC 16,2M05241761+0027343,0.28658887288655555,0.0204151111205583,-0.09258002,0.189733,-0.58683,0.01148132,135.1424,4559.079,1.756823,21.82741,81.073389,0.459538,0.013489632380568446,7.130000114440918,0.08454001,0.08846259,0.08861101,0.58,0.0,0.51
ASCC 16,2M05241763+0102157,0.3832158420887263,0.031126629569271067,-0.17165,-0.01552111,-0.16549,0.01193872,124.67,4738.028,4.494997,20.95713,81.07346,1.037717,0.013489632380568446,7.130000114440918,-0.03664151,0.06854269,0.02963601,0.93,0.23,0.7
ASCC 16,2M05241919+0017385,0.6787931553748121,0.1194984647516625,0.01041,-0.08175511,-0.097374,0.005767359,316.9967,5834.279,3.750962,19.97509,81.079979,0.294028,0.013489632380568446,7.130000114440918,0.0373355,-0.0002250075,0.165318,0.94,1.0,0.69
ASCC 16,2M05243566+0110191,0.44423672057866825,0.03543465116188933,-0.13782,-0.04586211,-0.13372,0.01210997,103.4352,4705.833,4.501923,20.36557,81.148594,1.171975,0.013489632380568446,7.130000114440918,-0.0317515,0.002728984,0.032516,1.0,0.66,0.63
ASCC 16,2M05243890+0154065,0.8167150233621233,0.13407270021711967,0.159789,-0.0127092,-0.099079,0.005983043,228.4657,5748.677,3.848618,21.61453,81.162118,1.901827,0.013489632380568446,7.130000114440918,0.0644925,0.030067,0.066092,0.68,1.0,0.3
ASCC 16,2M05243993+0121408,0.6259280950008609,0.022508113662368066,0.003334001,-0.0536181,-0.090592,0.009483606,162.3966,3945.13,4.576736,20.20175,81.166413,1.361338,0.013489632380568446,7.130000114440918,-0.06678951,-0.05482501,-9999.0,0.98,0.99,0.57
ASCC 16,2M05244103+0154386,0.7923726275374501,0.03475179594134178,-0.09535998,-0.2547171,-0.36129,0.01188161,204.3177,3846.744,4.185301,19.50579,81.170997,1.910727,0.013489632380568446,7.130000114440918,-0.2750215,-0.205647,-9999.0,0.78,0.0,0.73
ASCC 16,2M05244624+0131290,0.2795286676243791,0.01623998561421738,-0.28048,0.01266599,-0.29287,0.007412039,266.0272,4872.158,3.717099,20.81885,81.192671,1.524733,0.013489632380568446,7.130000114440918,-0.05757698,-0.0922094,-0.009779036,0.96,0.0,0.93
ASCC 16,2M05244957+0250283,0.5025594739379711,0.028276854160515282,-0.09303199,-0.05464711,-0.090156,0.010403,156.6768,4524.815,4.520879,20.63593,81.206556,2.841222,0.013489632380568446,7.130000114440918,-0.0432185,-0.030683,-0.043478,0.99,0.98,0.4
