name,ra,dec,tic_id,Tmag,R_star,M_star,Teff,n_sectors,baseline_d,n_pts,rms_ppm,P_d,dur_h,depth_ppm,T0_BTJD,sde,R_p_Rearth,a_AU,T_eq_K,is_systematic_period,proc_time_s,status,centroid_offset_arcsec,centroid_sigma,centroid_direction_R,centroid_verdict,eb_screen_verdict,eb_n_pass,eb_n_inconc,eb_n_fail,eb_sde_ratio_2P_1P,eb_oddeven_sigma,eb_posfrac,eb_duration_ratio,eb_companion_RJup,eb_secondary_ppm
2M19391949+7019110,294.831231,70.319725,nan,,0.9012502893816544,0.943713644702793,5246.197,26.0,1979.4729791270397,400440.0,1140.405416788207,229.8495739829593,2.4000000000000004,1066.1033966655998,1827.448774194853,5.285479166623762,3.213421677401938,0.720303840711352,282.97160873107384,False,117.36571860313416,no_signal_SDE_5.3,,,,,,,,,,,,,,
2M16563447+6046555,254.143628,60.782097,nan,,1.9051989516599737,1.0416016704968531,6184.1543,8.0,378.3246495599169,123484.0,1878.9180640251282,99.29147664937125,2.4000000000000004,1418.4158083052914,2423.0790425059004,2.06434484882693,7.8354646147471145,0.4253845567966279,631.0925452618759,False,66.0802857875824,no_signal_SDE_2.1,,,,,,,,,,,,,,
2M19481784+6444470,297.074358,64.746407,nan,,1.3922013220714693,1.0117031068721158,5891.14,9.0,1926.9866893690416,139985.0,826.4306589643138,124.42661706468257,1.2000000000000002,956.8008178017445,1791.3993539625978,3.4385828038503448,4.702571951039283,0.489665764090361,478.9982425784932,False,71.52891707420349,no_signal_SDE_3.4,,,,,,,,,,,,,,
2M16563758+6017480,254.156598,60.296684,nan,,1.2554770849988968,0.9984039274394806,5762.638,23.0,1979.4701824579681,350860.0,1520.7471126608139,244.83015320612822,4.800000000000001,896.8206489944115,1725.3054370896125,6.210806772782078,4.10567178699709,0.7655117833247979,355.86331462997265,False,114.6383147239685,no_signal_SDE_6.2,,,,,,,,,,,,,,
2M16563250+6037494,254.135424,60.630398,nan,,1.3196124982000128,1.0056770519527367,5832.7734,27.0,1979.4716302328964,419954.0,1136.3875957565456,152.7709508380335,2.4000000000000004,773.3620238293125,1777.5490216266298,6.954714317754795,4.0073795680173285,0.5603420544984937,431.62354900359975,False,123.86737656593323,no_signal_SDE_7.0,,,,,,,,,,,,,,
2M16563442+6023587,254.143417,60.399654,nan,,0.8586178092618152,0.9432616647281872,5242.01,21.0,1979.4715898947472,329041.0,960.8040026077275,219.09070362814512,2.4000000000000004,1994.283107641906,1803.05403975,5.036150706501459,4.187125093506119,0.6975358693228849,280.44515684842975,False,105.3260760307312,no_signal_SDE_5.0,,,,,,,,,,,,,,
2M16563442+6023587,254.143417,60.399654,nan,,0.8696542133856568,0.9414477261200116,5225.2197,21.0,1979.4715898947472,329041.0,960.8040026077275,219.09070362814512,2.4000000000000004,1994.283107641906,1803.05403975,5.036150706501459,4.240945086698133,0.6970884504610053,281.4280233251901,False,70.37673473358154,no_signal_SDE_5.0,,,,,,,,,,,,,,
2M19403140+7017111,295.130854,70.286423,nan,,0.7787202280515638,0.8883733302494201,4743.549,32.0,1979.4729765745756,497579.0,1020.8813688309946,235.87773510940437,4.800000000000001,1939.6813249796198,1800.9387780875486,6.104315307245916,3.7451506039405307,0.7182290832206009,238.17493281214877,False,145.4784495830536,no_signal_SDE_6.1,,,,,,,,,,,,,,
2M16573739+6051483,254.405815,60.863419,,,,,,,,,,,,,,,,,,,,no_lc:no_TS,,,,,,,,,,,,,,
2M19383053+6509456,294.627223,65.162674,,,,,,,,,,,,,,,,,,,,no_lc:no_TS,,,,,,,,,,,,,,
