cluster,age_gyr,n_match,n_ba,cl_ba_fe,match_ba_median,rand_ba_median,delta_match,delta_rand,closer,mw_p
Gulliver_1,1.380385355838289,18708,18494,0.07371566444635391,0.06221636012196541,-0.005605790764093399,0.1065705344080925,0.12773139774799347,True,0.0
Gulliver_27,0.602559215586761,26818,26672,0.18286298215389252,0.060091640800237656,-0.00584372878074646,0.14015662670135498,0.19841910898685455,True,0.0
Gulliver_39,0.6165949477018448,28911,28865,0.10541900992393494,0.02325589209794998,-0.003837406635284424,0.1219988539814949,0.14236265420913696,True,0.0
Gulliver_46,0.0117489801933541,16811,16791,0.11575470864772797,0.003527112305164337,-0.002886250615119934,0.13085344433784485,0.14654992520809174,True,5.783e-41
Gulliver_50,0.0407380403044348,33807,33680,0.16936525702476501,0.04384482651948929,-0.005815178155899048,0.14447250962257385,0.18753018975257874,True,0.0
Gulliver_52,0.4786304286528699,21240,21145,0.06821232289075851,0.0372203066945076,-0.0038125962018966675,0.10667970776557922,0.12513652443885803,True,0.0
Gulliver_7,0.4786304286528699,16917,16662,0.2843574583530426,0.0679430142045021,-0.0037115439772605896,0.21992476284503937,0.29118412733078003,True,0.0
Haffner_26,0.5370312303176601,22555,22293,0.17266079783439636,0.07077508419752121,-0.006005704402923584,0.12914469838142395,0.18946295976638794,True,0.0
Haffner_9,0.3801893295314407,18347,17998,0.14995433390140533,0.06981296092271805,-0.005644563585519791,0.122111976146698,0.1726667881011963,True,0.0
Hogg_4,1.4791086480080835,26633,26441,0.20606575906276703,0.0515420064330101,-0.0044883862137794495,0.16298596560955048,0.2180282473564148,True,0.0
IC_2391,0.0288403175645028,23310,23283,0.07865011692047119,0.025401674211025238,-0.005365762859582901,0.10942623764276505,0.12965236604213715,True,0.0
IC_2581,0.0102329353157667,22186,22121,0.07243664562702179,0.015731610357761383,-0.006142757833003998,0.11390814185142517,0.12825535237789154,True,0.0
IC_2602,0.0363078006932764,20216,20007,0.16187722980976105,0.05553407967090607,-0.004766520112752914,0.1332428753376007,0.18102918565273285,True,0.0
