cluster_name,fe_h,mg_fe,mg_pred,mg_resid,mg_zscore,off_locus,age_gyr,age_bin,C_O_std,ra_cl,dec_cl,dist_cl,si_fe,al_fe,ba_fe,eu_fe,mn_fe,ni_fe
Blanco_1,-0.1309238052727272,0.1122204491363636,0.0307550510932315,0.081465398043132,2.4983461663142514,True,0.1047129651766653,0.1-0.3,0.1945,0.853,-29.958,0.23752969121140144,0.0695738184818181,0.0838552984545454,-0.0311724822968244,0.3100248575210571,-0.0679687038064003,0.0218500215560197
Bochum_11,-0.0628052024,0.0083935648,0.0195464241255291,-0.0111528593255291,-0.3420311446170723,False,0.0063095762158615,<0.1,0.0624,161.769,-60.096,2.570694087403599,0.0306482182999999,0.0328575038,0.1473435461521148,0.1149384230375289,-0.0378608144819736,0.0105694513767957
Bochum_13,-0.0333268021999999,-0.0905264992,0.0153022243524391,-0.1058287235524391,-3.2455102672324934,True,0.0089125054671134,<0.1,0.1884,259.333,-35.529,1.7636684303350971,0.01061990767,0.03376797955,0.1931499689817428,0.1165007203817367,-0.1575940251350402,-0.0099393855780363
Bochum_6,-0.100915296090909,-0.0110932875454545,0.0255762519674482,-0.0366695395129027,-1.124565836087423,False,0.006456541439665,<0.1,0.084,112.992,-19.416,4.016064257028113,0.0514932404090909,0.0647818870336363,0.2600822150707245,0.2496100515127182,-0.0346209406852722,-0.0105441147461533
Collinder_115,-0.2114260047058823,0.0110138016764705,0.0465228950623634,-0.0355090933858928,-1.0889777679962995,False,0.0954992627963111,<0.1,0.077,101.659,1.776,2.1052631578947367,0.0774008514470588,0.0677355797647058,0.1912555396556854,0.2671793401241302,-0.0600462183356285,0.0135593870654702
Collinder_135,-0.2100776957290323,0.0548133696645161,0.0462363111172972,0.0085770585472188,0.2630375822671585,False,0.0263026845396328,<0.1,0.0777,109.362,-37.044,0.3050640634533252,0.0791735637432258,0.0608191156612903,0.0472886525094509,0.0913082212209701,-0.0422356203198432,0.0356966406106948
Collinder_140,-0.2004727588571428,0.0144495078071428,0.0442169482113339,-0.0297674404041911,-0.912895197239738,False,0.0269153374005781,<0.1,0.1141,110.882,-31.966,0.3855050115651504,0.0831224826428571,0.02075765905,0.1230798438191413,0.2023080289363861,-0.0577366016805172,0.0313596613705158
Collinder_185,-0.1427019785454545,0.025139241990909,0.0328914289658947,-0.0077521869749856,-0.2377407718458878,False,0.0616594947701844,<0.1,0.0854,125.833,-36.349,1.597444089456869,0.0785211796363636,0.090458813840909,0.1925358325242996,0.1885575056076049,-0.0095145348459482,0.0330716967582702
Collinder_205,0.0672521433333333,0.0165443690333333,0.0035781161270506,0.0129662529062826,0.3976435274117379,False,0.0045708802901852,<0.1,0.0435,135.119,-48.984,2.070393374741201,0.0096627695833333,0.0576960158333333,0.2244955599308014,0.235611155629158,0.0123322578147053,0.024806436151266
Collinder_220,0.0935172696666666,-0.0778435656666666,0.0012186391023414,-0.0790622047690081,-2.424646057463855,True,0.2344228197592381,0.1-0.3,0.0742,156.429,-57.922,2.7472527472527473,-0.0483045994666666,0.0788413791999999,0.0663745328783989,0.0915494412183761,-0.0575672090053558,0.0259836670011281
Collinder_258,-0.0942865059999999,0.0371823706666666,0.0244834551159114,0.0126989155507552,0.389444939135757,False,0.097723670593248,<0.1,0.0836,186.798,-60.767,1.3089005235602094,0.061371575,0.117446741,-0.0085871098563075,0.2334485501050949,-0.0626794397830963,0.0751197785139083
Collinder_261,-0.0493455851604687,0.0211616335375,0.0175631138152521,0.0035985197222478,0.1103578717890035,False,6.309576215861531,>5,0.0815,189.519,-68.377,3.1746031746031744,0.0496971441859375,0.0188172056875,-0.0021320912055671,0.0946700200438499,-0.0450465194880962,0.0464032143354415
Collinder_268,0.0138464833333333,-0.0305058483333333,0.0092724504379893,-0.0397782987713227,-1.219903942348873,False,0.239883355113592,0.1-0.3,0.0262,199.543,-67.079,2.801120448179272,0.0486729153333333,0.0078481033333333,0.170590654015541,0.2067168205976486,-0.0595016181468963,0.0362376682460308
Collinder_269,-0.0830650780666666,0.0812746854466666,0.0226757491191287,0.0585989363275379,1.7970872473548232,False,0.4168692736211187,0.3-0.5,0.1092,200.992,-66.204,1.7605633802816902,0.1335219986866666,0.13123558,0.0768192112445831,0.0703025162220001,-0.0322018936276435,0.0745152905583381
Collinder_271,0.0238326223354838,0.0215096323,0.0081163042088433,0.0133933280911566,0.4107408874748778,False,0.0616594947701844,<0.1,0.1039,202.453,-64.199,2.8328611898017,0.079059539516129,0.0732755067419354,0.0663933604955673,0.1158525049686431,0.0247855708003044,0.0621076263487339
Collinder_272,-0.1243964589625,0.2188206345,0.0295962742496457,0.1892243602503542,5.803052171357974,True,0.045708802901852,<0.1,0.1226,202.586,-61.319,2.4154589371980677,0.0911014305,0.178080015,-0.3767052888870239,0.2164707630872726,-0.0245241820812225,0.1284383833408355
Collinder_277,-0.0623028497435897,0.0208134246107692,0.0194710292932576,0.0013423953175116,0.0411680084519769,False,0.9772367059324804,0.5-1,0.1335,207.058,-66.066,1.7361111111111112,0.0743755271787179,0.0460101611030769,0.0391428396105766,0.1562800109386444,-0.0313890539109706,0.0456305034458637
