cluster,age_gyr,N_template,C_O_std,observed,mc_median,mc_std,enrichment,p_value,significant
Juchert_13,2.290865841769215,11,0.0789,5598,4580.0,8243.936484980946,1.2222707423580785,0.47,False
LP_2059,0.2691536695250797,21,0.0799,24883,6653.5,8418.46882583763,3.7398361764484855,0.07,False
LP_2068,0.2238723104986867,6,0.0864,15921,5835.5,8924.683014180391,2.7283009168023304,0.225,False
LP_2094,0.1479108648008083,7,0.099,2423,5565.0,9240.47758900886,0.4353998203054807,0.72,False
LP_2117,0.6309576215861531,19,0.0917,21063,5323.5,7879.945462444522,3.9566074950690333,0.095,False
LP_2210,0.1288248533293804,7,0.0611,6140,5255.0,8442.054254799303,1.1684110371075167,0.43,False
LP_2220,0.4570880290185208,9,0.0736,12673,5397.5,8141.02859287449,2.3479388605836036,0.26,False
LP_597,0.5370312303176601,7,0.0748,18954,5332.5,7664.006025570113,3.5544303797468353,0.125,False
LP_930,2.290865841769215,6,0.0979,5907,5915.5,8212.761234390053,0.9985630969486942,0.5,False
Lynga_14,,14,0.092,20812,6523.0,8911.910462015145,3.190556492411467,0.13,False
Melotte_101,0.1659587927845761,30,0.0861,23052,6855.5,8749.276983612704,3.3625556122821094,0.095,False
Muzzio_1,0.0077624687798841,17,0.0944,24212,5814.5,8706.774794285195,4.164072577177746,0.07,False
NGC_2112,2.089294662720361,29,0.08,19821,6133.0,8424.288948843101,3.2318604271971303,0.125,False
NGC_2232,0.0177827941003892,42,0.0867,17956,4663.0,8793.351981171629,3.850739867038387,0.15,False
NGC_2254,0.3467368199963294,12,0.0619,24991,5095.5,8769.667911751278,4.904523599254244,0.07,False
NGC_2287,0.1698241862446276,9,0.0902,13195,7050.0,8999.707680773581,1.871631205673759,0.295,False
NGC_2318,0.4365161773191,9,0.0947,16692,5567.5,8262.647808419224,2.998114054782218,0.17,False
NGC_2516,0.239883355113592,15,0.07,19507,6001.0,8545.782869954046,3.2506248958506916,0.14,False
NGC_2527,0.6918312139914402,9,0.0967,15140,6091.0,8827.106576058772,2.485634542768018,0.25,False
NGC_2533,1.047129651766654,24,0.0803,18348,5322.5,8673.490480468345,3.4472522310944105,0.185,False
NGC_2539,0.6918312139914402,22,0.0703,16726,5985.0,7911.142554467086,2.7946532999164577,0.155,False
NGC_2547,0.0323593827469971,7,0.0347,28129,5430.0,8031.331189628528,5.180294659300184,0.03,False
NGC_2548,0.3890452816839944,19,0.0988,17891,5989.5,9080.410416385374,2.9870606895400282,0.205,False
NGC_2587,0.3162277660168379,7,0.0958,11990,5163.0,8093.16023592762,2.322293240364129,0.295,False
NGC_2588,0.5495405842387225,10,0.088,25087,7001.0,9092.72577474846,3.5833452363948006,0.075,False
NGC_2632,0.6760828566222641,15,0.0977,21595,5015.0,8914.673401757353,4.306081754735793,0.125,False
NGC_2660,0.9332548746146908,6,0.0336,19685,4959.0,8539.411343904216,3.9695503125630167,0.14,False
NGC_2670,0.102329353157667,9,0.0988,18288,5971.0,8328.989120882257,3.0628035504940545,0.16,False
NGC_2682,4.265796312095559,41,0.0698,25264,5932.0,8427.728704550236,4.258934592043156,0.065,False
NGC_2910,0.1288248533293804,14,0.0617,11420,5482.5,8717.087212848108,2.0829913360693113,0.265,False
NGC_2925,0.1288248533293804,15,0.0606,16948,5202.5,9088.40090766247,3.2576645843344547,0.195,False
NGC_2972,0.4897783461428336,6,0.0916,10023,4957.5,8199.449633833663,2.02178517397882,0.305,False
NGC_3105,0.021877623926123,11,0.0963,27627,6634.0,8754.327418184392,4.164455833584564,0.065,False
NGC_3228,0.0301995185303324,30,0.0786,13006,4516.0,8324.178280729877,2.8799822852081487,0.21,False
NGC_3255,0.2238723104986867,20,0.0959,22211,5444.5,8347.688660317897,4.079529800716319,0.1,False
NGC_3766,0.0229086835704537,8,0.0806,20310,4937.5,8409.059560639049,4.113417721518988,0.1,False
NGC_4349,0.3162277660168379,8,0.0724,19947,5979.0,9152.465292389805,3.3361766181635724,0.18,False
NGC_5168,0.602559215586761,16,0.0666,24030,5610.0,8893.054870605487,4.283422459893048,0.1,False
NGC_5381,0.3548135450617081,5,0.0397,24317,6081.0,8974.636369556985,3.998848873540536,0.085,False
NGC_5460,0.1584892496402718,16,0.0318,23164,6907.0,9052.710796059928,3.353699145794122,0.115,False
NGC_5617,0.1047129651766653,5,0.0707,27856,5538.5,8006.738519172461,5.02952062832897,0.025,False
NGC_5662,0.1995263191254866,12,0.0757,22951,5867.5,8643.165623520124,3.9115466553046443,0.08,False
NGC_5749,0.0524807206714521,8,0.095,5463,5669.5,8788.310544636835,0.9635770350119058,0.515,False
NGC_5822,0.9120109194638908,6,0.0477,19309,5212.0,8247.73961523853,3.7047198772064465,0.14,False
NGC_6124,0.1905459546378596,7,0.0893,20473,5528.5,8931.687111845107,3.7031744596183414,0.14,False
NGC_6152,0.2238723104986867,17,0.0948,21104,4938.5,7688.460034363188,4.273362356990989,0.085,False
NGC_6167,0.1548815122441698,19,0.0945,18151,6123.0,8832.143991691655,2.9643965376449453,0.16,False
NGC_6178,0.016595861056887,19,0.0942,20895,5316.5,8452.080132190833,3.9302172481895985,0.115,False
NGC_6204,0.0933253849940474,5,0.0865,21483,6290.0,8202.859694324596,3.415421303656598,0.085,False
NGC_6250,0.0239883355113592,8,0.0942,6385,4569.0,7373.729461946309,1.3974611512365944,0.41,False
NGC_6318,0.0097723670593248,10,0.0748,18608,6329.5,8759.64672152793,2.9398846670353107,0.17,False
NGC_6645,0.512861429039393,7,0.0416,9065,7075.5,9011.843967300754,1.2811815419404988,0.395,False
NGC_6694,0.1412536303897631,7,0.0817,21308,7258.5,8351.687440775067,2.9355927533236894,0.11,False
NGC_6756,0.0478629903136986,6,0.0433,15745,6474.5,8993.213383155935,2.431848019152058,0.22,False
Patchick_90,1.096478099832217,58,0.0999,22997,5706.0,8672.875280480805,4.030318962495619,0.08,False
Pismis_15,0.8709627484287175,17,0.0909,11069,6730.0,9852.676968559103,1.6447251114413075,0.345,False
Pismis_20,,7,0.0398,6406,4537.0,9007.28422607919,1.4119462199691426,0.415,False
Pismis_21,,11,0.0329,9270,5613.5,8643.595763939913,1.651376146788991,0.35,False
Pismis_23,,6,0.0751,15793,5694.5,8708.190285287466,2.773377820704188,0.185,False
Pozzo_1,0.0095499262796311,14,0.0546,12141,7002.5,8405.182640845765,1.7338093538022135,0.29,False
Ruprecht_1,0.2884031756450284,27,0.0958,17139,4994.0,8023.032481510654,3.4319183019623547,0.15,False
Ruprecht_105,0.3890452816839944,7,0.0576,12610,6157.5,8927.410189948707,2.047909053999188,0.295,False
Ruprecht_119,0.0478629903136986,26,0.0709,18576,6869.0,9032.347283202467,2.704323773475033,0.195,False
Ruprecht_121,0.1778279410038923,20,0.0985,10339,5070.5,8291.30568855714,2.0390494034118922,0.3,False
Ruprecht_161,0.1047129651766653,21,0.0826,20179,6902.5,7971.99573384231,2.9234335385729806,0.125,False
Ruprecht_18,0.1288248533293804,28,0.0717,18374,6375.0,8063.2319615508395,2.8821960784313725,0.16,False
Ruprecht_54,0.2754226042194985,35,0.0961,12912,5066.0,8316.88915220108,2.548756415317805,0.3,False
Ruprecht_58,0.3311314705081584,27,0.0686,22094,5518.5,7895.852497982723,4.0036241732354805,0.075,False
Ruprecht_61,,17,0.0958,17826,6169.5,8664.4748188162,2.889375151957209,0.17,False
Ruprecht_77,0.0123026920306321,7,0.0543,16917,5913.0,8642.667474657346,2.860984271943176,0.185,False
Ruprecht_78,,20,0.0977,17048,6233.0,9318.12535776242,2.7351195251082947,0.205,False
Ruprecht_82,0.4570880290185208,16,0.0923,28150,4875.0,8636.34601828227,5.774358974358974,0.035,False
Ruprecht_91,0.1380385355838289,23,0.0819,16105,5939.0,8363.986130391118,2.7117359824886345,0.195,False
Ruprecht_97,0.1778279410038923,16,0.0918,21854,6709.0,8725.900075681306,3.2574154121329557,0.125,False
Ruprecht_98,0.4897783461428336,15,0.0663,27907,6127.0,8595.860369327494,4.55475763016158,0.04,False
SAI_113,0.0089125054671134,10,0.082,15762,6208.5,8146.241550408385,2.5387774824836917,0.21,False
Stock_14,0.0363078006932764,11,0.0978,5791,5250.0,8558.97568900479,1.103047619047619,0.48,False
Stock_16,,16,0.0966,20719,5214.0,8619.351788614966,3.9737245876486385,0.105,False
Teutsch_103,0.3630784055774333,10,0.0836,21451,6303.0,8768.080325873789,3.4033000158654607,0.125,False
Teutsch_13,0.0079432840915212,13,0.0709,7802,6012.5,8729.782198083467,1.2976299376299376,0.42,False
Teutsch_38,0.0371535375952047,15,0.0629,2797,7026.0,7842.63158327452,0.39809279817819526,0.72,False
Teutsch_44,2.5703948796691973,18,0.0978,20070,4154.0,8751.004822853201,4.831487722676938,0.135,False
Teutsch_61,0.045708802901852,10,0.0855,25276,6292.5,8925.360715364674,4.016845450933651,0.075,False
Teutsch_85,,13,0.0634,19672,4977.5,7816.521007735795,3.952184831742843,0.105,False
Tombaugh_2,1.621810239813303,5,0.0309,8933,5817.0,8329.506562041955,1.535671308234485,0.375,False
Trumpler_14,0.0630957621586153,7,0.0846,24073,5607.0,8728.483485869696,4.29338327091136,0.07,False
Trumpler_17,0.0199526319125486,13,0.0826,25961,5870.5,9033.574929428549,4.422280896005451,0.07,False
Trumpler_19,4.897783461428336,12,0.0953,20850,6717.5,8490.874900739029,3.1038332713062897,0.14,False
Trumpler_20,1.862089099377868,11,0.0607,18675,6027.0,8956.601880601816,3.0985564957690395,0.19,False
Trumpler_25,0.2290865841769215,21,0.0822,5963,5716.5,7714.090160867969,1.0431207906936062,0.48,False
Trumpler_35,0.0389045281683994,6,0.0249,8363,6467.0,9055.648362453127,1.2931807638781505,0.405,False
UBC_102,0.3311314705081584,6,0.0844,6386,5310.5,8915.316443312598,1.2025233028905,0.455,False
UBC_199,1.148154730847072,13,0.0888,28866,5064.5,8492.476742240746,5.699674202784085,0.025,False
UBC_210,1.288248533293805,11,0.0931,16220,6466.0,8480.296943502331,2.5085060315496444,0.185,False
UBC_216,0.0616594947701844,19,0.0965,16845,4826.0,8465.78687056909,3.490468296726067,0.185,False
UBC_228,0.8128302305789092,26,0.0876,14558,7104.0,8916.066128308774,2.049268018018018,0.26,False
UBC_229,0.1122018947073786,5,0.0789,13593,5463.0,8077.12970812652,2.4881933003844043,0.22,False
UBC_239,0.2754226042194985,26,0.0962,18232,5235.0,8781.394804306434,3.482712511938873,0.15,False
UBC_250,0.3311314705081584,31,0.0982,18838,7118.5,8817.833922283578,2.646344033153052,0.17,False
UBC_254,0.1096478099832217,13,0.0656,28757,5792.0,8305.858703889382,4.964951657458563,0.03,False
UBC_258,0.0407380403044348,37,0.0838,25479,5886.5,8491.671360686305,4.328378493162321,0.06,False
UBC_259,0.102329353157667,18,0.0738,18701,5429.5,9177.056439725104,3.444331890597661,0.17,False
UBC_260,0.2344228197592381,26,0.0908,8573,6853.5,8428.684725743098,1.2508937039468884,0.44,False
UBC_264,0.2951211041237279,13,0.0861,19272,5506.5,9522.13468524259,3.499863797330428,0.165,False
UBC_266,0.0128824994773753,19,0.0822,21469,6216.0,8314.565637235657,3.453828828828829,0.105,False
