gaiadr3_source_id,ra,dec,gal_l,gal_b,hab_score,s_CO,s_MgSi,s_FeH,s_MgFe,s_SiFe,s_volatile,s_age,C_O,C_O_raw,Mg_Si,fe_h,mg_fe,si_fe,al_fe,ca_fe,ba_fe,age,teff,logg,dist_pc,parallax,rv_comp_1,cct_cluster,cct_distance,dist0,ra_g,dec_g,parallax_g,phot_g_mean_mag,ruwe,non_single_star,dist,has_planet,ruwe_v,G,nss_v,constellation,esp_min_1ms
4078473731372098176,281.5857849121094,-22.79913902282715,11.908584605136213,-9.117360957116937,0.9449835710700334,1.0,0.99943274,0.87688583,0.9829395,0.99594206,0.93277353,1.0,0.33688226,0.45141253,1.0334755,0.15377948,0.027827121,0.013526928,0.18536511,0.021015314,-0.043269027,6.786329,5560.675,3.903558,292.5128683640507,3.418653017191152,26.993877,Teutsch_80,1.563182478148241,292.51286836405063,281.58582942716845,-22.79924617541285,3.3851680181007184,11.40504,0.77730423,0,295.40631208050337,False,0.77730423,11.40504,0,Sagittarius,21.782476745133653
3057522385497196416,116.03050231933594,-4.121305465698242,222.72286092328343,9.758524873035016,0.9446513159590068,1.0,0.9907264,0.9085544,0.9933004,0.9999021,0.7487983,1.0,0.31850395,0.4753256,0.9653979,0.13138533,-0.017392457,-0.00209881,0.09580916,-0.057926275,-0.14015967,5.1162114,5480.426,3.8210368,247.71222726804223,4.036942427221927,80.31877,Teutsch_80,1.8351836118183555,247.71222726804223,116.03038323026792,-4.121298893431799,4.006096427504215,10.209806,1.0395445,0,249.61955312268827,False,1.0395445,10.209806,0,Monoceros,7.244587447686403
5418653237401614208,151.27513122558594,-41.43902587890625,272.4318895021862,11.376960790820055,0.943879677983938,1.0,0.9916142,0.8935981,0.9995276,0.9922624,0.7482761,1.0,0.31945962,0.36274898,0.9680889,0.14230198,0.0046113953,0.01869613,0.0717282,-0.057299852,-0.14038882,7.3022785,5695.857,3.9760551,227.4122597424393,4.397300308842504,41.99418,Teutsch_80,1.5717933887238291,227.4122597424393,151.2751647762253,-41.43900727519868,4.3795393093417525,10.29964,0.91358256,0,228.33451862549913,False,0.91358256,10.29964,0,Vela,7.869502162546513
3392575704830913536,74.90108489990234,14.579667091369627,186.1792170328245,-16.800145835841885,0.94200153789506,1.0,0.99999225,0.9647599,0.9716683,0.98268926,0.67827994,1.0,0.2845689,0.51981956,1.0184289,0.080359705,0.035962984,0.028032243,0.07850137,-0.06393547,-0.17028257,5.955793,5331.604,3.8123894,292.03439171445,3.424254226117984,-26.118597,Teutsch_80,1.7217566266013082,292.03439171444995,74.90098001490317,14.57957943613979,3.391288227021352,11.025532,1.3542981,0,294.8731965723608,False,1.3542981,11.025532,0,Orion,15.356917778786572
6034743270693278464,253.26983642578125,-25.225276947021484,356.39040957100826,11.725580789577254,0.941588959369428,1.0,0.99934566,0.81632715,0.87950337,0.91990274,0.9932693,1.0,0.23278257,0.34907237,1.034472,-0.19112614,0.076012515,0.0612938,0.04971172,0.02039575,0.079054736,7.309291,5557.3364,3.8542597,281.817582796104,3.5483946391077508,10.954377,Berkeley_22,1.517573976261318,281.817582796104,253.2697567951549,-25.22527106109595,3.5142386407287587,10.903993,0.9942553,0,284.5566571405711,False,0.9942553,10.903993,0,Ophiucus,13.730566600915584
5291420603694557952,123.2357940673828,-58.669471740722656,272.88778165194003,-13.200738380189469,0.940420831867535,1.0,0.950838,0.78547806,0.9910775,0.9813948,0.9395329,1.0,0.4564516,0.5156406,0.89298934,0.20847857,-0.020082757,0.029070973,0.061200812,-0.036160655,-0.038298085,7.4313016,5665.687,3.9799774,270.57301856064413,3.695860013388097,53.07195,UBC_343,1.0466251899926418,270.57301856064413,123.23578062154694,-58.669452669592445,3.683611013017594,10.756107,1.3506266,0,271.4727468416394,False,1.3506266,10.756107,0,Carina,11.982130880175548
3419334828554441984,77.66850280761719,25.62958335876465,178.46879750596574,-8.296959819803757,0.9374287656884088,1.0,0.96367985,0.974309,0.9691674,0.9998197,0.81974715,1.0,0.16880918,0.36238307,0.91119385,-0.06844566,-0.037540726,0.0028485022,0.063642934,-0.1953528,-0.10762268,6.33557,5410.687,3.8148632,241.6527110663344,4.138170002675853,25.590979,UPK_398,2.37788570574701,241.65271106633438,77.66860793340558,25.62946829023143,4.108956002346478,11.301647,1.2170346,0,243.37082203580076,False,1.2170346,11.301647,0,Taurus,19.80386964696766
6717481412482565120,285.9840393066406,-40.288082122802734,356.77712705939064,-19.381541158074317,0.9346896145020454,1.0,0.9886675,0.9979137,0.94802266,0.99472404,0.6083494,1.0,0.33506626,0.3726226,1.0803913,0.019389026,0.049009793,0.015428714,0.084530205,-0.017122112,-0.19925034,7.474984,5706.7354,3.948302,245.29493988040423,4.076724943806664,28.565205,Gulliver_50,1.1678073674512353,245.29493988040423,285.9838477424538,-40.28816015149826,4.04638194396092,10.530658,0.9955428,0,247.13435702540738,False,0.9955428,10.530658,0,Corona Australis,9.73541477037627
5912827467203040640,264.6351318359375,-59.31566619873047,332.9730152723243,-14.483818099291668,0.932229874467301,1.0,0.96494985,0.8059842,0.9872424,0.9947288,0.86260575,1.0,0.6046949,0.6641309,0.913148,0.19703907,-0.024037078,0.015421756,0.09720573,-0.08607072,-0.08592162,6.0998845,5665.2183,3.9122946,230.4588186116692,4.33917003490777,-30.88965,UBC_557,0.9674282106915691,230.45881861166916,264.6351410793303,-59.31565613100141,4.315501034192753,10.23459,0.9265134,0,231.72280392861904,False,0.9265134,10.23459,0,Ara,7.411860880049584
5367416545303385600,158.10191345214844,-44.775028228759766,278.5466609642526,11.413836799243992,0.9311602967607188,1.0,0.9887881,0.7928631,0.99859524,0.9978656,0.8238569,1.0,0.38217404,0.4790139,0.9599328,0.20439872,-0.007953495,0.009805672,0.112309724,-0.054514475,-0.105627134,7.0425105,5594.243,3.93478,200.8774457672282,4.978159674325883,41.55881,Gulliver_14,1.7078267081720806,200.8774457672282,158.10131142701715,-44.77497603701055,4.960497674414813,10.00419,0.9225807,0,201.59267590382842,False,0.9225807,10.00419,0,Vela,5.994697308347438
