host,planets,pl_R_min,match_gaia_id,rms_dex,sep_deg,match_dist_pc,R_gal_kpc,Z_pc,n_matches
K2-336,K2-336 b,1.22,2577571300676264832,0.01436436902135118,114.77138168353093,519.8110623800272,8.298042638362293,406.7394673213126,3193
K2-336,K2-336 b,1.22,3793825151783544832,0.014523377161882673,42.60554398048297,236.29337296643607,8.128108251558983,216.93788480847738,3193
K2-336,K2-336 b,1.22,5466340362364417792,0.016365769116156913,47.224424405794586,313.6295952402677,8.164090827388215,134.8766974951432,3193
K2-368,"K2-368 b, K2-368 d, K2-368 c",1.332,3698713070949932032,0.010514199859537223,148.95234487136565,345.5285170549709,8.097044882340004,321.44955106229617,1870
K2-368,"K2-368 b, K2-368 d, K2-368 c",1.332,2637764270897296128,0.011717142240485529,19.08773281931418,244.87241739054346,8.094411325111485,184.25450465417777,1870
K2-368,"K2-368 b, K2-368 d, K2-368 c",1.332,6305720522693798016,0.01469288404449305,104.16589714262669,215.72435528279837,7.952279500587547,143.6036294454974,1870
K2-213,K2-213 b,1.51398464,5701624168398632448,0.004768245942441607,119.48619915113666,328.6274800697973,8.254656520230096,81.51864223884203,78242
K2-213,K2-213 b,1.51398464,5961037444351516672,0.004944147288498081,254.10703801348262,807.7970780371741,7.328853151037112,34.687238492067884,78242
K2-213,K2-213 b,1.51398464,5315262585633134976,0.005939663028077357,130.50460726849175,1551.956953319244,8.184428604325978,237.87620846443951,78242
K2-200,K2-200 b,1.3643987,6271626831780662528,0.008050870034443955,25.197105790519913,243.3851394907063,7.949538889313744,151.32215837475314,10011
K2-200,K2-200 b,1.3643987,5253218931212939648,0.008769925284252715,74.99039076868898,473.0788258226077,8.008763885242653,15.7950199817463,10011
K2-200,K2-200 b,1.3643987,650382950561409536,0.01036092095164905,79.58935104440876,588.0657078824894,8.585288765428432,270.65149821924774,10011
K2-131,K2-131 b,1.69,6287969255355921792,0.008513751005646133,28.21659603021053,304.6377517035892,7.936061131068334,210.7939304375688,4622
K2-131,K2-131 b,1.69,6848460563340738944,0.009428341582962926,125.03127051925033,281.48325337000966,7.900325062182163,132.6651987587717,4622
