cluster,N,C_O_mean,C_O_std,intrinsic_scatter,feh_mean,feh_std,rv_mean,rv_std,age_gyr,age_bin,R_gal,Z_gal,abs_Z
UBC_515,14,0.4365,0.1033,0.0,-0.044,0.207,-9.1,15.81,0.008128302305789,<0.1,8.01699611537143,0.017432014622768974,0.017432014622768974
UBC_517,26,0.4579,0.1035,0.0,-0.005,0.165,-15.3,21.58,0.0223872064696397,<0.1,7.943281861279074,0.011513580551727704,0.011513580551727704
Collinder_271,31,0.4206,0.1039,0.0,0.024,0.159,-18.82,29.26,0.0616594947701844,<0.1,7.914193778655958,0.010166116178127117,0.010166116178127117
UBC_261,26,0.4498,0.104,0.0727,0.019,0.113,-0.02,17.64,0.0186208705488312,<0.1,8.059074934092484,0.01379702059978934,0.01379702059978934
UBC_315,13,0.4523,0.104,0.0,0.134,0.119,-37.56,22.3,0.3715349680219835,0.3-0.5,7.732680894800753,0.026686718428180534,0.026686718428180534
UBC_272,8,0.4236,0.1042,0.0286,-0.078,0.191,0.04,30.81,0.0933253849940474,<0.1,7.98382158995404,0.009389206714899612,0.009389206714899612
UBC_474,18,0.4681,0.1042,0.0,-0.024,0.178,53.11,25.91,0.7413100459583173,0.5-1,8.17335221138503,0.025660321314091756,0.025660321314091756
NGC_1817,51,0.3619,0.1043,0.0417,-0.156,0.174,32.42,38.12,1.1220189470737862,1-2,8.656159395390894,-0.10208093138860877,0.10208093138860877
UBC_442,16,0.2898,0.1045,0.0084,-0.112,0.244,41.11,29.48,1.4454392628956645,1-2,8.279298542906567,0.007227146356186161,0.007227146356186161
UBC_82,9,0.4652,0.1045,0.0,-0.21,0.214,48.66,19.13,0.2754226042194985,0.1-0.3,8.515502055582193,0.004564365265412651,0.004564365265412651
Ruprecht_111,11,0.4951,0.1046,0.0464,0.07,0.152,-27.3,24.7,0.9120109194638908,0.5-1,7.659695777094988,0.02287788275386084,0.02287788275386084
NGC_2215,5,0.4151,0.1048,0.0,-0.293,0.097,79.41,39.13,0.6918312139914402,0.5-1,8.955274832893016,-0.15624270728513343,0.15624270728513343
UBC_206,6,0.2414,0.1049,0.0589,-0.222,0.21,22.66,14.29,0.1862089099377868,0.1-0.3,8.580607775036588,-0.04813345191933925,0.04813345191933925
UBC_662,22,0.3782,0.1053,0.0,-0.003,0.172,-1.13,26.49,0.0436515698042876,<0.1,8.036120822007348,0.02272261487355479,0.02272261487355479
NGC_2225,13,0.3333,0.1054,0.0298,-0.149,0.17,35.71,31.19,1.380385355838289,1-2,8.346734732637703,-0.028294045429180657,0.028294045429180657
UBC_294,21,0.491,0.1056,0.0,-0.023,0.208,-23.54,33.33,0.794327537013272,0.5-1,7.749864894838158,0.06569725466987465,0.06569725466987465
NGC_2251,5,0.259,0.1058,0.067,-0.23,0.179,41.35,9.18,0.2754226042194985,0.1-0.3,8.728853154423627,0.023617763131389715,0.023617763131389715
Lynga_6,5,0.4138,0.1059,0.0,0.124,0.104,-2.96,34.27,0.0030902938038668,<0.1,7.791419660520741,0.021971427398167643,0.021971427398167643
UBC_653,17,0.3847,0.1059,0.0748,-0.087,0.193,8.78,19.11,0.0309029380386681,<0.1,8.019992486898653,0.018457357696157934,0.018457357696157934
Gulliver_40,15,0.4524,0.106,0.0,-0.013,0.187,4.9,26.41,0.0416869273621118,<0.1,7.961193755855725,0.030078364063766395,0.030078364063766395
UBC_523,15,0.5032,0.1062,0.0,-0.046,0.208,-12.78,23.92,0.1659587927845761,0.1-0.3,7.959815060989037,0.0022651520332116933,0.0022651520332116933
UBC_32,15,0.3534,0.1062,0.0,-0.001,0.156,10.83,47.56,0.1380385355838289,0.1-0.3,4.890698469098302,-0.19320026822811523,0.19320026822811523
LP_198,22,0.3816,0.1063,0.052,-0.188,0.178,50.61,22.8,0.2570394879669198,0.1-0.3,8.284701946998501,0.015046708163124974,0.015046708163124974
UBC_505,15,0.4717,0.1064,0.0519,-0.041,0.143,4.26,15.38,0.602559215586761,0.5-1,8.03747334499218,0.015013566275817281,0.015013566275817281
UBC_640,21,0.3821,0.1065,0.0,-0.153,0.156,53.89,19.89,0.0870963704709874,<0.1,8.200241627996714,0.025872734129618175,0.025872734129618175
UBC_262,24,0.4549,0.1065,0.0834,-0.031,0.187,5.75,22.43,0.1819701817628807,0.1-0.3,8.0450308772356,0.013619952654583978,0.013619952654583978
FSR_1663,17,0.4657,0.1066,0.0,0.013,0.183,-20.45,25.71,1.288248533293805,1-2,7.954694040968794,0.03015435712223694,0.03015435712223694
NGC_6025,19,0.4558,0.1066,0.0,-0.02,0.302,-18.78,59.42,0.1047129651766653,0.1-0.3,7.131852229402201,-0.11159396405575754,0.11159396405575754
NGC_6755,17,0.5201,0.1067,0.0,0.061,0.147,0.54,34.21,0.1445439262895664,0.1-0.3,7.831596367051373,0.008917365936253386,0.008917365936253386
UPK_542,9,0.399,0.1068,0.0,-0.15,0.206,19.45,23.39,0.6309576215861531,0.5-1,8.149491121118864,-0.0988660691443403,0.0988660691443403
BH_111,29,0.4242,0.1069,0.0,0.003,0.181,2.14,22.21,0.1949844428490234,0.1-0.3,8.001629007393397,0.0017826618208036556,0.0017826618208036556
UBC_473,23,0.3864,0.1069,0.0,-0.179,0.112,57.87,28.62,0.7413100459583173,0.5-1,8.17569608248755,0.019585470555091532,0.019585470555091532
UPK_614,19,0.4615,0.107,0.0,0.047,0.169,-25.27,39.86,0.1,<0.1,7.258558350601691,0.0644821816131216,0.0644821816131216
NGC_3603,6,0.5802,0.107,0.0418,-0.022,0.131,-6.93,24.59,,,8.094277706088011,0.020040382219808084,0.020040382219808084
UBC_350,9,0.3155,0.1072,0.0,-0.106,0.268,9.21,34.57,0.2344228197592381,0.1-0.3,7.624160516428504,-0.03294635803353388,0.03294635803353388
UBC_263,17,0.4134,0.1075,0.0276,-0.038,0.139,6.89,27.43,0.0251188698309886,<0.1,8.010423252114263,0.016622783952418774,0.016622783952418774
UBC_572,25,0.4475,0.1076,0.0593,-0.026,0.215,-14.0,28.21,1.9054595463785964,1-2,7.496839500526036,-0.06836534343580945,0.06836534343580945
Alessi_Teutsch_8,9,0.3934,0.1079,0.0403,0.09,0.117,-7.62,15.12,0.1174896729347291,0.1-0.3,7.73065002185597,0.04289663969323089,0.04289663969323089
UBC_645,27,0.3114,0.1081,0.0,-0.177,0.229,54.82,29.13,0.9332548746146908,0.5-1,8.17462196861727,0.022787360653132697,0.022787360653132697
UBC_657,16,0.4609,0.1082,0.0,-0.031,0.151,3.93,15.93,,,8.069368737863009,0.015283996852459712,0.015283996852459712
Collinder_338,20,0.4988,0.1083,0.0,0.084,0.114,-22.12,31.3,0.1445439262895664,0.1-0.3,6.6229697115399295,-0.06890337928836059,0.06890337928836059
ASCC_77,16,0.4346,0.1084,0.0514,0.023,0.173,-20.02,23.51,0.0812830230578909,<0.1,7.584534047651017,0.006660446809850579,0.006660446809850579
NGC_3590,20,0.4314,0.1085,0.0583,-0.089,0.203,-0.47,19.94,0.0263026845396328,<0.1,7.998445111322101,0.019350539247787558,0.019350539247787558
Collinder_359,5,0.4439,0.1085,0.0751,-0.049,0.302,3.15,35.51,0.0371535375952047,<0.1,6.671858515376535,0.40027941694212277,0.40027941694212277
UPK_562,4,0.3569,0.1086,0.0944,-0.194,0.22,26.89,17.18,0.097723670593248,<0.1,7.822835963044055,0.07956362794773526,0.07956362794773526
UBC_232,39,0.3592,0.1087,0.0577,-0.201,0.186,65.12,28.64,0.3801893295314407,0.3-0.5,8.262280819803504,0.036572491232959664,0.036572491232959664
Hogg_10,28,0.3965,0.1092,0.0642,-0.063,0.199,-1.66,21.47,,,7.9943821285832914,0.021041630088785002,0.021041630088785002
Collinder_269,15,0.3418,0.1092,0.0,-0.083,0.248,-17.79,27.26,0.4168692736211187,0.3-0.5,7.800581361873641,-0.01512449016463525,0.01512449016463525
ESO_130_13,6,0.1908,0.1092,0.0,-0.214,0.345,-7.01,40.37,0.0338844319835388,<0.1,7.9400614941782965,0.04072665446588895,0.04072665446588895
NGC_3960,25,0.4356,0.1093,0.0,-0.083,0.236,-0.21,25.0,0.8709627484287175,0.5-1,7.965998312015198,0.06342623146222083,0.06342623146222083
UBC_546,31,0.403,0.1093,0.0585,0.063,0.165,-20.37,29.87,0.3388439477987164,0.3-0.5,7.6637957006100335,-0.006968082058225449,0.006968082058225449
NGC_2671,17,0.2763,0.1093,0.0499,-0.084,0.204,33.48,22.2,0.3311314705081584,0.3-0.5,8.243824146296888,0.03046480125813585,0.03046480125813585
Ruprecht_144,7,0.481,0.1096,0.0,0.081,0.092,2.68,31.58,0.0301995185303324,<0.1,7.605729965546928,0.006676157280502516,0.006676157280502516
UPK_567,18,0.3892,0.1096,0.0,-0.08,0.273,7.42,24.72,0.3388439477987164,0.3-0.5,7.703583118663449,-0.1840522429037106,0.1840522429037106
NGC_2506,31,0.3251,0.11,0.0409,-0.205,0.203,51.33,45.64,1.6595879278457617,1-2,8.30749365027006,0.07166194530012789,0.07166194530012789
UBC_282,19,0.3837,0.11,0.0218,0.003,0.152,-15.69,21.07,0.1258926517592568,0.1-0.3,7.99203583119479,0.029607600498644835,0.029607600498644835
Loden_46,25,0.4196,0.1102,0.0522,-0.086,0.214,12.72,19.98,0.8317639172213713,0.5-1,7.977535410721911,0.05461220833294368,0.05461220833294368
UBC_475,30,0.319,0.1103,0.0,-0.167,0.22,52.41,28.69,0.0398107083132505,<0.1,8.284550908081846,0.026431312517171558,0.026431312517171558
UBC_649,26,0.3822,0.1106,0.0,-0.213,0.184,36.84,36.11,,,8.165392007841602,0.13594734349934293,0.13594734349934293
Trumpler_26,37,0.4969,0.1106,0.0646,0.054,0.159,-14.31,30.59,0.2511884225153641,0.1-0.3,7.500295649420056,0.05024361840193521,0.05024361840193521
BH_99,19,0.3952,0.1107,0.0739,-0.06,0.148,8.86,17.86,0.0954992627963111,<0.1,7.78469271419649,-0.0038025180699226384,0.0038025180699226384
UBC_494,9,0.3983,0.1108,0.0499,0.028,0.167,23.4,20.1,0.6918312139914402,0.5-1,8.090383585718497,0.005178977698873339,0.005178977698873339
Juchert_10,16,0.4778,0.1109,0.055,0.103,0.13,-17.04,24.03,,,8.04536798351026,0.02006251021323038,0.02006251021323038
BH_118,19,0.4248,0.1109,0.0,-0.037,0.255,2.25,23.98,1.9054595463785964,1-2,8.098279761770979,0.023421488870544637,0.023421488870544637
FSR_1402,34,0.3118,0.1109,0.0724,-0.163,0.216,51.93,41.01,3.0199485372543653,2-5,8.152606495281576,0.04194883703826742,0.04194883703826742
UBC_483,18,0.4569,0.111,0.0944,-0.027,0.155,27.4,20.34,,,8.16205990318807,0.006974681699984515,0.006974681699984515
NGC_3572,27,0.3924,0.1111,0.0702,-0.067,0.206,-1.06,21.38,0.0047862990313698,<0.1,7.996540504558497,0.02156284513953329,0.02156284513953329
UPK_585,77,0.403,0.1112,0.0,-0.141,0.237,2.82,34.62,0.0776246877988414,<0.1,7.372959678277119,-0.31160942681388315,0.31160942681388315
Berkeley_24,6,0.349,0.1112,0.0712,-0.245,0.168,18.04,36.75,1.4125363038976315,1-2,8.254246669013463,0.011801183857396196,0.011801183857396196
Ruprecht_164,15,0.4442,0.1115,0.0,0.018,0.208,5.62,28.73,1.698241862446276,1-2,8.047528475886859,0.022569051859286,0.022569051859286
Teutsch_66,18,0.4134,0.1116,0.0,-0.044,0.128,15.09,20.45,0.2951211041237279,0.1-0.3,8.106636444350782,0.019169226070636373,0.019169226070636373
