ra,dec,C_O,sigma_CO,fe_h,c_fe,o_fe,mg_fe,si_fe,al_fe,rv_gaia_dr3,age,cluster_name,ra_cl,dec_cl,pmra_cl,pmdec_cl,dist_cl,sep_deg
103.18125,-1.6189722,0.4760686315049273,0.12123366080469507,0.09159663,-0.08299879,-0.021096012,-0.0458706,0.012843039,0.07472885,-4.1512833,1.8979871,ASCC_29,103.571,-1.67,-1.008,-1.019,1.057,0.3929
103.515335,-1.7535,0.368023104416874,0.06153498667629717,-0.17908812,0.07996911,0.25366637,0.0710062,0.13609718,-0.07729763,88.16025,1.1827314,ASCC_29,103.571,-1.67,-1.008,-1.019,1.057,0.1003
103.780624,-1.8170278,0.39909271882591635,0.13783819530785682,-0.018530197,-0.04470501,0.09379353,-0.000622496,0.024542555,0.07466963,85.9877,2.5274901,ASCC_29,103.571,-1.67,-1.008,-1.019,1.057,0.256
103.453,-1.5908889,0.3846724951093434,0.07407422445804977,-0.1527189,-0.03345969,0.12102152,0.006330639,0.045678142,-0.02277951,28.482056,1.7687496,ASCC_29,103.571,-1.67,-1.008,-1.019,1.057,0.142
103.442795,-1.5537778,0.5869590544511595,0.13830947720027867,0.045272868,-0.010300042,-0.039335504,0.005646892,0.030570418,0.08869603,7.034519,2.75306,ASCC_29,103.571,-1.67,-1.008,-1.019,1.057,0.173
103.528336,-1.5446111,0.43167185089097165,0.12764451620961353,-0.19971436,0.049478345,0.15389696,0.0393719,0.05063155,0.048695207,31.18509,7.056329,ASCC_29,103.571,-1.67,-1.008,-1.019,1.057,0.1324
103.371666,-1.3948889,0.426031740544881,0.13528484667147217,-0.14689821,-0.086968884,0.023161504,-0.011696354,0.047951955,0.07297239,65.40083,0.30940905,ASCC_29,103.571,-1.67,-1.008,-1.019,1.057,0.3397
103.82533,-1.80225,0.286780804315396,0.02735415411037339,-0.6565831,0.063526034,0.3455483,0.106966145,0.36115035,-0.037395164,23.708437,8.039227,ASCC_29,103.571,-1.67,-1.008,-1.019,1.057,0.2866
103.448044,-1.3614722,0.24117025603791883,0.057258450420920134,-0.16302449,0.1787493,0.5359979,0.044334255,0.032729726,0.007028222,49.108788,1.7389593,ASCC_29,103.571,-1.67,-1.008,-1.019,1.057,0.3321
103.55463,-1.4475,0.3980306449814918,0.07888398135997166,0.14821734,0.0003780059,0.14003384,-0.005782753,-0.022783171,0.0717828,-8.783318,9.156151,ASCC_29,103.571,-1.67,-1.008,-1.019,1.057,0.2231
103.92238,-1.8573055,0.43431109537056406,0.11034698413432832,-0.31552345,0.06457053,0.16634195,0.09221084,0.09770405,-0.13040584,50.230137,2.7174149,ASCC_29,103.571,-1.67,-1.008,-1.019,1.057,0.398
103.91967,-1.8300834,0.6599288161038328,0.12021369299058089,0.030233968,0.019209478,-0.06071527,0.017753027,-0.025625566,0.100226104,53.362247,8.34463,ASCC_29,103.571,-1.67,-1.008,-1.019,1.057,0.3835
103.51312,-1.1851667,0.33909049589909357,0.09694710538667486,-0.13127264,0.005573223,0.21482995,-0.091433994,0.000437323,0.026535004,76.69735,0.37657988,ASCC_29,103.571,-1.67,-1.008,-1.019,1.057,0.4883
103.610374,-1.2406666,0.3567587745307446,0.06544405752611143,-0.33874777,0.005819149,0.19301683,0.07467712,0.14583541,-0.17200509,68.6531,7.466515,ASCC_29,103.571,-1.67,-1.008,-1.019,1.057,0.4311
