cluster,n_match,B_X,med_d_true,match_idx,med_d_null,ratio
NGC_2287,13529,0.07908493266666666,0.10511943733333334,[    10     16     18 ... 533348 533355 533370],0.1296032500446165,0.8110864295235305
NGC_2527,15532,0.34082035988888887,0.2483448398888889,[    18    126    154 ... 533350 533353 533398],0.12071086591538836,2.0573528158017265
NGC_2539,18558,0.04902935472857143,0.10622718,[    40    166    196 ... 533393 533399 533422],0.1464366617104199,0.7254138325692333
NGC_2547,29225,0.11278211385714286,0.12206064985714286,[     8     16     40 ... 533399 533403 533431],0.1370018958445397,0.8909413194956723
NGC_2548,18504,0.1438952735263158,0.12781943147368421,[    10     16     18 ... 533375 533382 533427],0.12499850752655918,1.022567661030078
NGC_2587,12231,-0.03653871628571429,0.0920226532857143,[    26     27     73 ... 533342 533350 533364],0.1341703004578472,0.6858645540160015
NGC_2588,25868,0.19569903090000001,0.1437794485,[    18     29    154 ... 533353 533371 533403],0.12271428856440225,1.1716602050342526
NGC_2660,20165,0.16227452666666667,0.13929096866666668,[    10     18     26 ... 533400 533405 533456],0.13479368042741638,1.0333642365501845
NGC_2682,26257,0.005105327751219512,0.09663891224878049,[    16     40    165 ... 533375 533403 533431],0.13546390355412294,0.7133923481702238
NGC_2925,19113,0.11892857634285714,0.11891596623485715,[    16    165    167 ... 533353 533355 533431],0.12986385151470853,0.9156972078668758
NGC_2972,10569,0.035584629233333324,0.09930279923333332,[   171    187    218 ... 533220 533317 533371],0.12743247880502412,0.7792581621618604
NGC_3496,14433,0.123711741275,0.122364810375,[     4     10     16 ... 533348 533355 533375],0.13117476731701982,0.9328380211971091
NGC_3766,18678,-0.019402845428571427,0.085207005,[    65     96    132 ... 533394 533399 533425],0.1605271909556164,0.5307948422492398
NGC_4349,18323,0.11414993784857143,0.12578908984857143,[     4      8     10 ... 533347 533375 533385],0.13895263638359157,0.9052659461697369
NGC_5168,22550,-0.011813498066666666,0.098994102,[     4      8     10 ... 533427 533428 533431],0.1411235694244146,0.7014710753402604
NGC_5381,25493,-0.0009683696000000033,0.0963519796,[   165    167    171 ... 533397 533424 533431],0.1285448151107779,0.7495594397717666
NGC_5460,26005,0.0647995176,0.1147590876,[     8     11    164 ... 533424 533428 533431],0.1515906976266484,0.7570325184638922
NGC_5662,25047,0.08425736181818182,0.12167221781818183,[   164    171    215 ... 533397 533424 533431],0.14956758933731176,0.8134932063642545
NGC_5822,20118,-0.08958411416666666,0.09682879056666666,[    19    132    147 ... 533385 533399 533431],0.15618002304415865,0.619981920090312
NGC_6167,18976,0.03278573165789473,0.10024580000000001,[    19     96    132 ... 533374 533385 533399],0.1560807076044579,0.6422690000486443
NGC_6178,20963,-0.013133230394444445,0.09011161039444444,[    96    132    147 ... 533385 533394 533399],0.16264055522430823,0.5540537553512752
NGC_6204,22581,0.1141233256,0.13712175440000002,[   166    196    197 ... 533290 533385 533422],0.14764293648135227,0.9287390082309755
