cluster,template_N,age_gyr,R_gal,observed,mc_median,mc_std,enrichment,p_value,significant,centroid_C/O,sigma_C/O,centroid_[Mg/Fe],sigma_[Mg/Fe],centroid_[Si/Fe],sigma_[Si/Fe],centroid_[Fe/H],sigma_[Fe/H]
UBC_292,25,0.069183121399144,7.873554063733651,154323,79433.0,60123.7,1.943,0.185,False,0.4927,0.0983,0.0049,0.0663,0.0647,0.0567,0.0143,0.1807
UBC_301,12,0.2344228197592381,7.702955315511197,102724,52117.5,39273.1,1.971,0.165,False,0.4529,0.0748,0.0409,0.1601,0.0699,0.1096,-0.0058,0.2763
UBC_302,7,0.5754402406055371,7.520989494933904,28493,27802.5,37696.1,1.025,0.49,False,0.4058,0.0975,0.0773,0.1237,0.1248,0.1135,-0.0848,0.3285
UBC_303,21,0.7079464062202759,7.727979685966384,253946,159889.5,89188.2,1.588,0.175,False,0.4715,0.1293,0.0063,0.083,0.0819,0.1028,0.0047,0.2047
UBC_312,5,0.794327537013272,7.830535588721555,15460,7892.0,10416.6,1.959,0.325,False,0.5041,0.1015,0.0171,0.0307,0.0834,0.0855,0.0511,0.1804
UBC_324,20,0.794327537013272,7.634342774219886,117658,58770.0,48497.4,2.002,0.185,False,0.54,0.1323,0.0149,0.0495,0.0726,0.0606,0.1269,0.1075
UBC_326,5,0.2630268453963283,7.562098226626206,16382,7784.0,7710.0,2.105,0.255,False,0.5502,0.0746,-0.0456,0.1098,0.0269,0.0381,0.0906,0.1736
UBC_344,16,0.0034673681999632,7.681303126582394,105583,40532.0,43117.1,2.605,0.165,False,0.5228,0.1383,0.0256,0.0802,0.0679,0.0666,0.0807,0.1643
UBC_345,13,0.0144543926289566,7.677005655624074,69188,44888.5,37220.0,1.541,0.32,False,0.5395,0.1057,0.0125,0.0531,0.0883,0.0496,0.1147,0.1691
UBC_354,20,0.1995263191254866,7.653443776608949,239206,135729.0,82628.3,1.762,0.105,False,0.5059,0.0976,0.0094,0.1185,0.0459,0.0824,-0.0118,0.143
UBC_441,10,0.1737799912893991,8.511790860071205,95119,95677.0,68161.6,0.994,0.505,False,0.4146,0.103,0.0332,0.105,0.1202,0.0627,-0.1818,0.216
UBC_443,18,0.8912505467113453,8.35992637322733,129359,61366.5,53958.2,2.108,0.215,False,0.4049,0.0813,0.0117,0.0626,0.0861,0.0868,-0.1659,0.1579
UBC_461,6,0.0478629903136986,8.262342717608297,35382,12671.0,17382.8,2.792,0.225,False,0.4442,0.1165,0.0383,0.0297,0.0889,0.0492,-0.1375,0.2003
UBC_470,14,0.0323593827469971,8.216645100489501,87865,43495.5,35763.0,2.02,0.185,False,0.4557,0.1019,0.0251,0.043,0.0856,0.0486,-0.1577,0.1428
UBC_476,8,0.0870963704709874,8.182326697621823,86953,43820.0,32220.2,1.984,0.095,False,0.4436,0.073,0.0464,0.0889,0.089,0.0629,-0.1757,0.1794
UBC_479,18,0.0204173767566041,8.26377909209261,93664,28953.5,31833.3,3.235,0.06,False,0.4373,0.0701,0.0065,0.0537,0.06,0.0542,-0.1052,0.164
UBC_482,5,0.0269153374005781,8.171773056617827,1842,2144.5,1793.5,0.859,0.56,False,0.4853,0.1052,-0.08,0.0842,0.0567,0.1115,-0.0203,0.0772
UBC_490,16,0.0398107083132505,8.099080310308738,117204,36376.5,38846.9,3.222,0.07,False,0.4343,0.0711,-0.008,0.0671,0.0356,0.0605,-0.0265,0.1476
UBC_491,17,0.1819701817628807,8.102243015263593,104503,48553.5,57424.8,2.152,0.34,False,0.4429,0.0977,-0.0155,0.0799,0.0716,0.0691,-0.0598,0.1528
UBC_497,13,,8.004559454155697,93657,33819.0,39015.2,2.769,0.16,False,0.4912,0.1005,-0.0054,0.0429,0.0442,0.0452,0.0081,0.1343
UBC_499,17,0.0524807206714521,8.01874606986356,107080,50064.0,48811.5,2.139,0.25,False,0.4695,0.0672,0.0162,0.0772,0.0757,0.0609,-0.1088,0.1745
UBC_503,29,1.5488151224416984,8.000445578199802,142030,65088.0,54913.0,2.182,0.145,False,0.4394,0.0925,0.0016,0.0566,0.0731,0.0608,-0.0399,0.1415
UBC_504,8,0.0112201894707378,8.071098117402979,125497,71106.5,50055.7,1.765,0.21,False,0.4707,0.1335,-0.054,0.1083,0.0164,0.0744,0.0746,0.1361
UBC_509,12,0.5888442760205689,8.030946292900396,79871,41751.5,40853.8,1.913,0.295,False,0.4311,0.1089,0.0056,0.0573,0.0797,0.0639,-0.1153,0.1508
UBC_512,13,0.2951211041237279,8.052067997986713,188935,73892.5,62234.4,2.557,0.025,False,0.4549,0.114,0.0004,0.0706,0.0346,0.0565,0.007,0.156
UBC_518,5,0.0301995185303324,7.996165369330079,8617,2847.5,4623.6,3.026,0.21,False,0.5511,0.0844,0.0409,0.0279,0.0598,0.0217,0.1361,0.1125
UBC_528,18,2.691536695250797,7.967554850511114,153154,52677.0,49448.2,2.907,0.025,False,0.4755,0.1117,0.0693,0.139,0.0468,0.0508,0.0101,0.1421
UBC_529,10,0.1659587927845761,7.94648260263319,180367,84306.0,64243.8,2.139,0.095,False,0.4725,0.1188,0.0043,0.1019,0.0451,0.0868,0.0254,0.1787
UBC_533,10,0.0891250546711345,7.494567422377112,169092,102587.0,72572.3,1.648,0.255,False,0.5767,0.1222,0.0328,0.0599,0.0722,0.0702,0.0527,0.2205
