cluster,alpha_raw,alpha_int,sproc_raw,sproc_int
Pismis_18,0.10278140741216088,0.09815160683491862,0.3005299325275357,0.29157311361629795
Pismis_19,0.04967136233122178,0.04568126299903112,0.1780142932018574,0.17166468690442688
Pismis_2,0.17032306651905732,0.16937249051887873,0.2005292779504672,0.19522611537940124
Pismis_20,0.14279119893726006,0.1419076566667384,0.13889829821622846,0.13229550876067098
Pismis_21,0.11566684268323357,0.1140362685529655,0.11473368749167989,0.10455062625867938
Pismis_23,0.07714881652625455,0.07312129629618845,0.10881050779614969,0.09105787553695738
Platais_10,0.03815307744310084,0.02384172437098611,0.11001744675576544,0.08982706969909739
Platais_9,0.07303105691235263,0.0701242774855971,0.17492199674874143,0.1687809980737279
Pozzo_1,0.050212523373749256,0.04388845673225608,0.15704910933805377,0.1478765832591055
Ruprecht_1,0.07263244328048116,0.07049048519260948,0.22787132293128132,0.2236984302131565
Ruprecht_101,0.05089191733563865,0.041594227495736075,0.1726807541615574,0.15920663510019045
Ruprecht_102,0.04755825269137764,0.020832211557357788,0.16322819590822932,0.1420851707914178
Ruprecht_105,0.06015746557932155,0.050872802075027354,0.13335808227289936,0.11441229152863443
Ruprecht_107,0.1028346509879117,0.09953487086527851,0.23305153365747464,0.22540984048641943
Ruprecht_108,0.06058742622900821,0.054901426861157676,0.1480226969652782,0.1358976788868516
Ruprecht_111,0.06951167708229262,0.06648545291701555,0.14202915670775854,0.13335215779918064
Ruprecht_117,0.05298338340359358,0.04817618123170905,0.12774320474343395,0.11588624924059501
Ruprecht_119,0.05383896265663178,0.0483382249759437,0.12077222961781822,0.11034320475539765
Ruprecht_121,0.08360362158144558,0.08132365574589556,0.1355290597848613,0.12686311695840982
Ruprecht_135,0.05655391501830326,0.048805644599063946,0.12309326174396375,0.10435765000905026
Ruprecht_143,0.05566598010003669,0.05189131310687319,0.16493841691819283,0.1572374078300627
Ruprecht_144,0.03916718717056642,0.027988100212116528,0.1169720169460077,0.10185921154490772
Ruprecht_145,0.08326220683829708,0.08118910636654822,0.1745116546692936,0.16822495913759986
Ruprecht_147,0.08363548915230049,0.0812342332784013,0.14550951073804513,0.13567530207340242
Ruprecht_161,0.07196938635318012,0.06577698350063431,0.19328061636186328,0.18165816089559336
Ruprecht_164,0.08781383407863577,0.08296853288164446,0.283016276272773,0.2755730793346598
Ruprecht_167,0.06964205095394763,0.06748423140672831,0.13704040608760942,0.13047093960418124
Ruprecht_171,0.07022424965755106,0.06451469533226264,0.14968347482439315,0.1345330981357819
Ruprecht_18,0.068343542820341,0.06552677259735534,0.15752921858118357,0.1507410587325685
Ruprecht_43,0.06120823232401254,0.05290127419731268,0.26400848444850394,0.25629552272196704
Ruprecht_44,0.05810444370212642,0.050514780099797874,0.274368409754833,0.2673401781525022
Ruprecht_45,0.08681225638175287,0.08275799740588419,0.19068509097914577,0.1808061464645274
Ruprecht_54,0.08223079524822603,0.07830396517764122,0.2675033137235859,0.2614740068108968
Ruprecht_58,0.07229540093951488,0.06740198229349392,0.2798278996894805,0.2734727707943
Ruprecht_60,0.04679487765517926,0.03871510279398492,0.18437329665591534,0.1750548310251271
Ruprecht_61,0.0660258166749455,0.061402607385233066,0.16629186882309094,0.15603577243886155
Ruprecht_71,0.07086993181357329,0.06347163495022357,0.33420236921842367,0.3263273196525253
Ruprecht_77,0.05126792376183177,0.04646231798852378,0.10531688671904892,0.09457642637748345
Ruprecht_78,0.08544740411888943,0.0827901494361189,0.14431009431169,0.13460714214832986
Ruprecht_79,0.042829789995809664,0.028759961897999203,0.23553204552761814,0.2238481516724037
Ruprecht_8,0.06250358647614943,0.05322098778667233,0.2417338638756562,0.22710527737056102
Ruprecht_82,0.06226192639625705,0.05237222967897939,0.18302616250033257,0.16421486515023984
Ruprecht_91,0.05940788466910163,0.05197904106317125,0.20253076779419502,0.19125148232216985
Ruprecht_94,0.10522509373515652,0.1032958989390021,0.43787015924792044,0.43466524522960986
Ruprecht_96,0.09220647674052129,0.08931810582693983,0.15442401772188413,0.14562934762536625
Ruprecht_97,0.07337537211237388,0.06974554573437854,0.16821500392342467,0.15881132944974902
Ruprecht_98,0.08074313963578184,0.07687227842940014,0.32589966771120876,0.31872479401348175
SAI_109,0.07010825991253727,0.06551724834223457,0.22225666760500415,0.21468645107984555
SAI_113,0.04989177555974798,0.03953462234662175,0.16455398163545074,0.1487620692319394
SAI_116,0.0949291352736368,0.09185826212059751,0.15033759264799887,0.14023297348993075
