i,j,d_chem,d_act,d_age,d_total,name_i,name_j,hab_i,hab_j
17,26,2.840428477437311,0.15492015331071474,1.6815039278643793,4.6768525586124055,HD 183193,TYC 5606-566-1,0.9910268582282452,0.9889979972384932
10,13,2.8094291367887174,1.5924389225205655,0.28356891546855584,4.685436974777839,HD 217340,TYC 8351-1776-1,0.9923914331934592,0.991384927374343
9,29,3.3893303308391736,1.223714007135012,0.073525072450046,4.686569410424232,TYC 9263-701-1,HD 180950,0.992456910945104,0.9881504576735348
2,10,2.5680578775388585,1.005168912518913,1.1143157272422655,4.687542517300036,TYC 7413-1369-1,HD 217340,0.9948926865069556,0.9923914331934592
16,28,3.0711372922862408,1.4737973914692766,0.14520282662872153,4.690137510384239,HD 122625,HD 178528B,0.9910369520989836,0.9883660877914092
3,21,3.6560069446111756,0.5044989345813063,0.54141342837058,4.701919307563062,TYC 1071-934-1,TYC 5232-208-1,0.9944493696993356,0.9901450005093488
5,7,2.1669796272073465,1.8314899102039992,0.7183686596923353,4.716838197103681,TYC 6897-1616-1,TYC 7915-779-1,0.9939321090920874,0.9934194074914954
14,21,2.7464298341173072,1.887332585402167,0.11067904157115271,4.744441461090627,HD 271200,TYC 5232-208-1,0.9913680789520726,0.9901450005093488
16,17,3.1434149961092657,1.3277343264579013,0.27609647195920006,4.747245794526368,HD 122625,HD 183193,0.9910369520989836,0.9910268582282452
9,15,3.2960744699658653,1.020810616340418,0.43220921117627387,4.749094297482557,TYC 9263-701-1,BD-08  6091,0.992456910945104,0.9911042011418684
5,19,3.9886649765386184,0.6142694884756774,0.19668435190916048,4.799618816923457,TYC 6897-1616-1,TYC 5248-636-1,0.9939321090920874,0.9902150085743344
0,26,2.711343983201723,0.9787064538554076,1.1229516701794104,4.8130021072365405,BD-03  3321,TYC 5606-566-1,0.9969227583789892,0.9889979972384932
1,9,1.7017166248903945,1.7447553727080545,1.3819905490521927,4.828462546650641,CD-30  7056,TYC 9263-701-1,0.9953865433639338,0.992456910945104
25,30,2.7972438534783532,1.0903940273727413,0.9560665880576609,4.843704468908755,TYC 9271-1853-1,TYC 6883-1588-1,0.9893123538849355,0.988093216107945
7,17,2.7882036121969973,1.7678814335692976,0.3284431469492267,4.884528192715522,TYC 7915-779-1,HD 183193,0.9934194074914954,0.9910268582282452
3,8,2.7635972165215774,0.37195402281083845,1.7814809023153715,4.917032141647788,TYC 1071-934-1,CD-60  1593,0.9944493696993356,0.9934140821873566
13,16,2.943756179373477,0.4597148421401796,1.5146322239309664,4.918103245444623,TYC 8351-1776-1,HD 122625,0.991384927374343,0.9910369520989836
5,13,3.3140064979923918,1.4207335808571322,0.1917239453302044,4.926464024179728,TYC 6897-1616-1,TYC 8351-1776-1,0.9939321090920874,0.991384927374343
