cluster,mg_fe_std,mg_fe_mean,mg_fe_n,si_fe_std,si_fe_mean,si_fe_n,ba_fe_std,ba_fe_mean,ba_fe_n,ce_fe_std,ce_fe_mean,ce_fe_n,eu_fe_std,eu_fe_mean,eu_fe_n,alpha_scatter,sproc_scatter,alpha_sproc_ratio,age_gyr
Basel_18,0.0867553851540732,0.05666298411111111,9,0.03962638505993882,0.035471535444444445,9,0.3434767425060272,0.030501849949359894,8.0,,,,0.10475099086761475,0.1894686371088028,7.0,0.06319088510700602,0.3434767425060272,0.1839742762376325,0.0275422906622152
Basel_8,0.0968953259136253,-0.016744616608333335,12,0.09068621580347908,0.06123942899999999,12,0.2696322202682495,0.1209765300154686,12.0,0.1820608526468277,0.2081109583377838,5.0,0.17917126417160034,0.1478448510169983,9.0,0.0937907708585522,0.225846529006958,0.41528542090484216,0.069183121399144
Berkeley_20,0.05880832045989828,0.003105828045999998,5,0.0754171532003283,0.07195601700000001,5,0.11196255683898926,0.04481346160173416,5.0,,,,0.1938888132572174,0.2150421142578125,5.0,0.06711273683011329,0.11196255683898926,0.5994212594361037,4.786304286528699
Berkeley_22,0.08673937860043052,0.05690909595566665,15,0.08774223220034649,0.08328540220666668,15,0.22815975546836853,0.13064615428447723,15.0,0.13268248736858368,0.08821620792150497,7.0,0.15078625082969666,0.19439059495925903,11.0,0.0872408054003885,0.1804211139678955,0.4835398888841375,2.454710856206481
Berkeley_24,0.058037453429646904,0.056810068,6,0.07088898840300882,0.12845978,6,0.20440886914730072,0.25594690442085266,6.0,,,,0.14354106783866882,0.23235300183296204,5.0,0.06446322091632786,0.20440886914730072,0.31536410912715584,1.4125363038976315
Berkeley_25,0.08036963073900914,0.046123253857894744,19,0.04746859555865178,0.08260486134210528,19,0.20515674352645874,0.047761786729097366,19.0,0.15635713934898376,0.09277191013097763,6.0,0.19735080003738403,0.14741326868534088,11.0,0.06391911314883046,0.18075694143772125,0.3536191342939569,2.454710856206481
Berkeley_32,0.09492107030607952,0.04877242711111111,36,0.088394122115428,0.06931015297777779,36,0.24522905051708221,0.1425853967666626,36.0,0.19265758991241455,0.15532530844211578,26.0,0.18653403222560883,0.2671187222003937,32.0,0.09165759621075376,0.21894332766532898,0.418636170319194,4.897783461428336
Berkeley_33,0.0858945541099656,0.05171954511111111,9,0.0645918860580091,0.1373469611111111,9,0.27861693501472473,0.09199070185422897,9.0,,,,0.29105857014656067,0.31070607900619507,8.0,0.07524322008398734,0.27861693501472473,0.2700597509624129,0.2344228197592381
Berkeley_39,0.07108678599579778,0.03800417037857142,14,0.08325653617607473,0.053368789571428564,14,0.16378381848335266,0.19876931607723236,14.0,0.13759204745292664,0.13180851936340332,10.0,0.2380848228931427,0.22630473971366882,9.0,0.07717166108593626,0.15068793296813965,0.5121290043991304,5.62341325190349
Berkeley_73,0.06856216175780071,0.06335307815384615,13,0.031094185962618554,0.09862396230769231,13,0.24551241099834442,0.10544984042644501,13.0,,,,0.18530073761940002,0.28410592675209045,7.0,0.04982817386020963,0.24551241099834442,0.20295582474869525,1.4125363038976315
Berkeley_75,0.06437113878275086,0.056241156534074084,27,0.08230272667710391,0.09369848571703703,27,0.17648686468601227,0.031044553965330124,27.0,0.12471543252468109,0.07169748842716217,20.0,0.17784105241298676,0.12919022142887115,24.0,0.07333693272992739,0.15060114860534668,0.4869613107806255,1.698241862446276
Berkeley_78,0.08423619931133226,0.05952806849166666,24,0.07911600217493722,0.0821479268375,24,0.2852609157562256,0.24846923351287842,24.0,0.2081175446510315,0.16656213998794556,22.0,0.19342100620269775,0.30869078636169434,21.0,0.08167610074313475,0.24668923020362854,0.33108904136477935,3.890452816839944
Bica_3,0.055355562261808294,0.009698837933333334,9,0.021451924884687574,0.081713482,9,0.24148963391780853,0.08470293134450912,9.0,,,,0.17292222380638123,0.19085292518138885,6.0,0.03840374357324793,0.24148963391780853,0.15902853861759847,
Blanco_1,0.12203435429883333,0.11222044913636363,11,0.07833167427254595,0.06957381848181819,11,0.11773049086332321,-0.031172482296824455,11.0,0.12294582277536392,-0.11418430507183075,8.0,,,,0.10018301428568964,0.12033815681934357,0.8325124543505213,0.1047129651766653
Bochum_11,0.05249364674086192,0.008393564800000001,10,0.03471797093413401,0.030648218299999995,10,0.16163970530033112,0.14734354615211487,10.0,0.09964045882225037,0.07524052262306213,9.0,0.14159847795963287,0.11493842303752899,10.0,0.04360580883749796,0.13064008951187134,0.3337858156744104,0.0063095762158615
Bochum_13,0.1884869293425075,-0.0905264992,10,0.1469465950461971,0.010619907670000001,10,0.22433310747146606,0.19314996898174286,10.0,0.08640507608652115,-0.051602788269519806,7.0,0.14960899949073792,0.11650072038173676,10.0,0.16771676219435228,0.1553690880537033,1.0794731712422807,0.0089125054671134
Bochum_6,0.04640552397489597,-0.011093287545454545,11,0.03329184669260282,0.05149324040909091,11,0.14323537051677704,0.2600822150707245,11.0,0.07328170537948608,0.09313365817070007,5.0,0.2070920467376709,0.2496100515127182,9.0,0.0398486853337494,0.10825853794813156,0.3680881534982632,0.006456541439665
Collinder_115,0.08004982305932133,0.011013801676470585,17,0.07451706234992966,0.07740085144705881,17,0.3007996678352356,0.19125553965568542,17.0,0.16495132446289062,0.17323651909828186,10.0,0.226975679397583,0.26717934012413025,12.0,0.0772834427046255,0.2328754961490631,0.3318659282862313,0.0954992627963111
Collinder_135,0.07932868029820453,0.05481336966451612,31,0.06051101446820148,0.0791735637432258,31,0.14960013329982758,0.04728865250945091,31.0,0.09325501322746277,0.05215385556221008,19.0,0.1515054702758789,0.09130822122097015,25.0,0.069919847383203,0.12142757326364517,0.5758152411676061,0.0263026845396328
Collinder_140,0.05532668923239893,0.014449507807142858,28,0.11470097526130484,0.08312248264285714,28,0.167770117521286,0.12307984381914139,28.0,0.1781419962644577,0.09211761504411697,19.0,0.16640013456344604,0.2023080289363861,20.0,0.08501383224685188,0.17295604944229126,0.4915343089818764,0.0269153374005781
Collinder_185,0.052064384077740805,0.02513924199090909,22,0.05486293746244746,0.07852117963636364,22,0.2450166940689087,0.19253583252429962,22.0,0.16544117033481598,0.07421649247407913,17.0,0.16882763803005219,0.18855750560760498,19.0,0.05346366077009414,0.20522892475128174,0.26050743497724355,0.0616594947701844
