cluster_name,family,age_gyr,age_bin,ra_cl,dec_cl,dist_cl,C_O_mean,C_O_std,c_fe,o_fe,mg_fe,si_fe,al_fe,ba_fe,eu_fe,ce_fe,y_fe,mn_fe,ni_fe,fe_h
Trumpler_19,3,4.897783461428336,2-5,168.623,-57.563,0.374,0.4234,0.0953,,,,,,0.11293122917413712,0.12141728401184082,0.05052144452929497,0.03547559306025505,-0.03228457644581795,0.047862883657217026,
Trumpler_20,1,1.862089099377868,1-2,189.882,-60.637,0.251,0.4933,0.0607,,,,,,0.19623613357543945,0.20566239953041077,0.14093542098999023,-0.07282836735248566,-0.1009574756026268,0.025721056386828423,
Trumpler_22,4,0.0323593827469971,<0.1,217.783,-61.169,0.386,0.3422,0.1697,,,,,,0.12435118108987808,0.1840011030435562,0.01581132598221302,0.11237963289022446,0.002179289236664772,0.038249947130680084,
Trumpler_25,5,0.2290865841769215,0.1-0.3,261.125,-39.006,0.402,0.5256,0.0822,,,,,,0.024292247369885445,0.0413760244846344,-0.028874199837446213,-0.04595263674855232,0.04712008684873581,0.07282520830631256,
Trumpler_26,4,0.2511884225153641,0.1-0.3,262.126,-29.487,0.623,0.4969,0.1106,,,,,,0.06256064027547836,0.10565360635519028,0.023238761350512505,0.004711218178272247,0.03075489029288292,0.04361836984753609,
Trumpler_29,5,0.0512861429039393,<0.1,265.347,-40.158,0.673,0.3555,0.1599,,,,,,0.014914333820343018,0.08905576169490814,0.06776995211839676,-0.051449187099933624,0.005212851800024509,0.060848455876111984,
Trumpler_34,5,,,279.935,-8.439,0.305,0.4602,0.126,,,,,,-0.02709486149251461,0.09778705984354019,0.009134355932474136,-0.07125385850667953,0.021232085302472115,0.07525064796209335,
Trumpler_7,1,0.0660693709156595,<0.1,111.849,-23.949,0.554,0.4216,0.1162,,,,,,0.2203536331653595,0.13526855409145355,0.6057842969894409,0.12820284068584442,-0.06709910929203033,0.03536266088485718,
Turner_5,5,0.323593827469971,0.3-0.5,143.284,-36.358,2.373,0.3584,0.1336,,,,,,0.0488218255341053,0.15160144865512848,0.05057124048471451,-0.06709035485982895,-0.046605803072452545,0.05925001576542854,
UBC_100,4,0.1584892496402718,0.1-0.3,281.238,-11.127,0.702,0.241,0.0596,,,,,,0.036835942417383194,0.041909877210855484,0.071139395236969,-0.017218584194779396,0.02297552488744259,0.04498791694641113,
UBC_11,5,0.0676082856622264,<0.1,246.666,-59.936,2.147,0.3549,0.1869,,,,,,-0.043450478464365005,0.15816251933574677,-0.04102814197540283,-0.0940549299120903,-0.015973106026649475,0.07412294298410416,
UBC_14,5,0.0524807206714521,<0.1,294.746,3.703,1.306,0.2951,0.1921,,,,,,-0.02060028724372387,0.1330443024635315,-0.023101890459656715,-0.050937898457050323,-0.017051151022315025,0.08077329397201538,
UBC_199,3,1.148154730847072,1-2,67.449,25.422,0.816,0.37,0.0888,,,,,,0.14022518694400787,0.2317775934934616,0.16805440187454224,0.06973503530025482,-0.03903926908969879,0.0354873463511467,
UBC_206,4,0.1862089099377868,0.1-0.3,93.351,1.431,0.517,0.2414,0.1049,,,,,,0.18393106758594513,0.12613868713378906,0.11992565542459488,0.0014423603424802423,0.008737499825656414,0.04391283914446831,
UBC_210,4,1.288248533293805,1-2,97.675,-1.413,0.402,0.5034,0.0931,,,,,,0.06544152647256851,0.18188844621181488,0.055728353559970856,0.06338174641132355,-0.02737756259739399,0.04313606023788452,
