cluster,age_gyr,n_match,n_rv,cl_rv,med_drv_match,med_drv_rand,ratio,frac_in10_match,frac_in10_rand,mw_p
Ruprecht_161,0.1047129651766653,20179,20179,15.301628347619049,22.825956344604492,24.296592712402344,0.9394714977031674,0.23692948114376333,0.22072451558550968,1.5674586e-15
Ruprecht_18,0.1288248533293804,18374,18374,61.730461,54.020912170410156,56.541099548339844,0.9554273369626451,0.0638402089909655,0.05763578970284097,1.2645742e-13
Ruprecht_54,0.2754226042194985,12912,12912,53.40640133714286,45.42860412597656,48.825706481933594,0.9304238975586759,0.09781598513011153,0.07783457249070631,2.5636521e-17
Ruprecht_58,0.3311314705081584,22094,22094,48.288742633333335,41.270042419433594,44.48291778564453,0.9277728277247184,0.10355752693038835,0.09699465918348874,3.275633e-29
Ruprecht_61,,17826,17826,51.77447552941176,44.848876953125,47.316864013671875,0.9478412800173366,0.09766633007965893,0.08201503421967912,2.2057077e-15
Ruprecht_77,0.0123026920306321,16917,16917,14.299440271428569,22.47370147705078,24.208162307739258,0.9283522305972818,0.23958148607909205,0.22001536915528758,1.642613e-16
Ruprecht_78,,17048,17048,29.61370747368421,28.781414031982422,30.603853225708008,0.9404506621997948,0.1798451431252933,0.17280619427498828,5.5067325e-08
Ruprecht_82,0.4570880290185208,28150,28150,1.3274417856249991,20.802326202392578,23.752769470214844,0.875785294362326,0.26120781527531084,0.22923623445825933,0.0
Ruprecht_91,0.1380385355838289,16105,16105,13.173315368260868,22.215967178344727,24.21969985961914,0.9172684759560054,0.24048432163924247,0.22663769015833593,1.9085221e-15
Ruprecht_97,0.1778279410038923,21854,21854,-10.03042756,25.064743041992188,26.837650299072266,0.9339395499485525,0.21099112290656172,0.19996339342912053,3.4235736e-20
Ruprecht_98,0.4897783461428336,27907,27907,-26.59042096,35.04176330566406,36.477561950683594,0.9606388539080358,0.13093489088759092,0.12914322571397857,1.4286258e-15
SAI_113,0.0089125054671134,15762,15762,10.443492800000001,21.603519439697266,23.790416717529297,0.9080765459555536,0.24489278010404772,0.23245780992259865,2.5572007e-24
Stock_14,0.0363078006932764,5791,5791,-14.343368294545456,27.76769256591797,28.978679656982422,0.9582111019066852,0.17440856501467794,0.19046796753583145,0.0018512201
Stock_16,,20719,20719,-21.418599649999997,31.196853637695312,32.72294616699219,0.9533632295359684,0.1574400308895217,0.15246874849172257,1.7597435e-13
Teutsch_103,0.3630784055774333,21451,21451,27.641780899999997,27.780784606933594,29.3096866607666,0.9478362879982758,0.18870915108852734,0.1785464547107361,7.696234e-13
Teutsch_13,0.0079432840915212,7802,7802,42.117139169230775,35.19768524169922,38.954872131347656,0.9035502702465563,0.1399641117662138,0.12612150730581903,4.6234107e-11
Teutsch_38,0.0371535375952047,2797,2797,39.00003213333333,39.10720443725586,37.253334045410156,1.0497638785722083,0.1322845906328209,0.13049696102967465,0.9919435
Teutsch_44,2.5703948796691973,20070,20070,19.36566626666667,24.33272933959961,25.66707420349121,0.9480133632172963,0.22122571001494767,0.21395117090184354,3.6144676e-09
Teutsch_61,0.045708802901852,25276,25276,42.0270697,36.23585891723633,38.76865005493164,0.9346690912862177,0.128896977369837,0.12474283905681278,7.754604e-25
Teutsch_85,,19672,19672,-22.301856338461544,31.488906860351562,33.38404083251953,0.9432323372213854,0.15011183407889386,0.1477734851565677,1.4760475e-18
Tombaugh_2,1.621810239813303,8933,8933,86.7326948,78.07083892822266,80.98267364501953,0.9640437320017285,0.02473972909436919,0.02261278405910668,3.3309107e-07
Trumpler_14,0.0630957621586153,24073,24073,3.8512365714285717,22.10335350036621,23.54863166809082,0.938625811125875,0.24762181697337265,0.23474431936194076,5.618765e-19
Trumpler_17,0.0199526319125486,25961,25961,3.9296665461538463,21.211257934570312,23.8271427154541,0.8902140801302564,0.2589268518161858,0.2289973421670968,0.0
Trumpler_19,4.897783461428336,20850,20850,-15.915707641666666,28.963054656982422,29.50405502319336,0.9816635250379768,0.16940047961630694,0.17237410071942447,2.6720878e-05
Trumpler_20,1.862089099377868,18675,18675,-33.26443990909092,39.74725341796875,41.62295150756836,0.9549359662959378,0.11159303882195448,0.10484605087014726,1.3299299e-17
Trumpler_25,0.2290865841769215,5963,5963,-22.652296666666672,31.47930335998535,33.73722839355469,0.9330731912168369,0.16233439543853764,0.15009223545195371,5.7059197e-09
Trumpler_35,0.0389045281683994,8363,8363,15.72267705,25.815309524536133,23.655807495117188,1.0912884512551384,0.21176611263900513,0.22073418629678346,0.9996657
UBC_102,0.3311314705081584,6386,6386,32.48505583333333,30.745006561279297,32.44239044189453,0.9476800612564198,0.16426558095834637,0.15831506420294394,7.804236e-06
UBC_199,1.148154730847072,28866,28866,19.046327053846156,23.083171844482422,25.609989166259766,0.9013346977473019,0.23342340469756806,0.20667913808632993,0.0
UBC_210,1.288248533293805,16220,16220,32.31523072727273,30.75450897216797,32.01890563964844,0.9605109343301605,0.16935881627620222,0.1598643649815043,2.4157043e-05
UBC_216,0.0616594947701844,16845,16845,54.9952122631579,47.50621032714844,49.918941497802734,0.9516670206085901,0.0875630750964678,0.07658058771148708,3.0645113e-13
UBC_228,0.8128302305789092,14558,14558,53.187578388461546,45.47926330566406,48.875511169433594,0.9305122794113401,0.09513669460090672,0.07837615057013327,1.1424657e-19
