cluster,N,C_O_mean,C_O_std,intrinsic_scatter,feh_mean,feh_std,rv_mean,rv_std,age_gyr,age_bin,R_gal,Z_gal,abs_Z
UBC_652,7,0.4595,0.0978,0.0,-0.042,0.167,6.7,23.44,0.01,<0.1,7.8306942438124,0.21420766456799564,0.21420766456799564
LP_930,6,0.4082,0.0979,0.0,-0.06,0.251,14.79,17.63,2.290865841769215,2-5,10.331054401231532,-0.01103603595120652,0.01103603595120652
UBC_250,31,0.3887,0.0982,0.0,-0.127,0.195,21.15,24.6,0.3311314705081584,0.3-0.5,8.12589918015383,-0.2554809196940698,0.2554809196940698
Alessi_59,6,0.3932,0.0984,0.0366,-0.21,0.173,42.11,43.45,,,12.109257422841571,0.12236440781164352,0.12236440781164352
Ruprecht_121,20,0.5541,0.0985,0.036,0.142,0.105,-38.42,27.11,0.1778279410038923,0.1-0.3,6.155523254513797,0.019193637749651177,0.019193637749651177
UBC_344,16,0.5086,0.0985,0.0,0.081,0.164,6.49,34.21,0.0034673681999632,<0.1,6.123653581179728,0.08307602063375936,0.08307602063375936
UBC_562,12,0.4306,0.0987,0.0,-0.005,0.166,-12.36,28.65,0.0117489801933541,<0.1,5.688312417073039,-0.08190325182183038,0.08190325182183038
NGC_2670,9,0.4191,0.0988,0.0,-0.12,0.122,28.34,18.74,0.102329353157667,0.1-0.3,8.333481365255599,-0.07661585416367643,0.07661585416367643
NGC_2548,19,0.4041,0.0988,0.0367,-0.109,0.197,37.54,30.74,0.3890452816839944,0.3-0.5,8.641276541732275,0.22797279752386704,0.22797279752386704
LP_2094,7,0.4795,0.099,0.0,-0.021,0.182,-0.54,16.43,0.1479108648008083,0.1-0.3,7.536568456096235,0.01300324341465316,0.01300324341465316
ESO_211_03,18,0.3852,0.099,0.0369,-0.054,0.162,19.78,22.39,1.288248533293805,1-2,10.330555917515717,-0.392475264514819,0.392475264514819
UBC_554,8,0.482,0.0994,0.0741,-0.031,0.203,-30.77,31.78,0.0602559877171915,<0.1,6.310789824271884,0.008534168312124352,0.008534168312124352
UBC_285,19,0.3459,0.0994,0.0,-0.082,0.208,-10.38,26.58,0.0616594947701844,<0.1,7.414999289490653,-0.06634123748769431,0.06634123748769431
UPK_12,29,0.3832,0.0998,0.0483,-0.179,0.192,7.33,41.37,0.1995263191254866,0.1-0.3,7.51955542421323,-0.1476888004644788,0.1476888004644788
Patchick_90,58,0.3516,0.0999,0.0,-0.123,0.195,39.53,34.31,1.096478099832217,1-2,15.408605998926115,-0.20259294849345869,0.20259294849345869
NGC_6087,25,0.4194,0.1,0.0,-0.081,0.238,-47.58,42.49,0.1,<0.1,7.319229416840576,-0.07340200098461579,0.07340200098461579
UBC_281,18,0.4118,0.1002,0.0,-0.016,0.176,-10.78,30.32,0.0346736819996329,<0.1,7.315239137497476,-0.0990613016040262,0.0990613016040262
UBC_276,13,0.4356,0.1003,0.0,0.012,0.196,-2.92,16.61,0.9120109194638908,0.5-1,7.780875307179349,0.0728656402977,0.0728656402977
Trumpler_16,6,0.4105,0.1003,0.0,-0.016,0.148,6.98,18.91,0.0134896323805684,<0.1,7.742767977315113,-0.010178702130548539,0.010178702130548539
ESO_313_03,4,0.463,0.1004,0.0418,0.003,0.025,37.69,32.81,,,10.962126234404176,-0.11691547620345248,0.11691547620345248
UBC_644,24,0.3839,0.1005,0.0,-0.145,0.141,53.5,28.54,0.2238723104986867,0.1-0.3,10.83091743616874,-0.01121190938721221,0.01121190938721221
NGC_4052,6,0.4262,0.1006,0.0,0.012,0.171,1.13,16.47,0.3311314705081584,0.3-0.5,7.2408137494713705,-0.03121872856901368,0.03121872856901368
NGC_2567,35,0.3714,0.1007,0.0037,-0.211,0.214,66.08,34.96,0.3162277660168379,0.3-0.5,8.927214028807605,0.11816163391238756,0.11816163391238756
Teutsch_106,15,0.4307,0.1008,0.0,-0.041,0.111,1.75,27.39,3.0199485372543653,2-5,10.613670837925767,0.0618915925097437,0.0618915925097437
NGC_3324,27,0.3832,0.101,0.0691,-0.034,0.161,5.66,25.98,0.0107151982289039,<0.1,7.817471904264796,0.010783983271371495,0.010783983271371495
NGC_6231,11,0.4832,0.1012,0.0,0.026,0.207,-16.63,29.94,0.0138038384023379,<0.1,6.512483882283588,0.051904227889198754,0.051904227889198754
UPK_552,20,0.3697,0.1012,0.0,-0.104,0.182,26.31,30.65,0.1174896729347291,0.1-0.3,8.071531289204806,0.07423256284643279,0.07423256284643279
Platais_9,22,0.325,0.1013,0.0668,-0.12,0.199,27.91,20.8,0.0501187013514281,<0.1,8.132397129973032,0.032657739985614276,0.032657739985614276
NGC_4337,20,0.3971,0.1015,0.0,-0.006,0.188,-10.81,28.58,1.4454392628956645,1-2,7.179651761570392,0.2397308854299308,0.2397308854299308
NGC_2262,10,0.3015,0.1015,0.0684,-0.179,0.163,44.79,27.89,0.645654852868111,0.5-1,12.195854935629297,-0.13405882583896095,0.13405882583896095
FSR_1253,25,0.389,0.1017,0.0648,-0.165,0.16,46.87,30.71,0.2951211041237279,0.1-0.3,11.386941560063123,-0.04464140694121403,0.04464140694121403
Ruprecht_45,13,0.3628,0.1017,0.0,-0.223,0.144,55.48,36.8,3.1622776601683795,2-5,11.850665657656958,0.6654691494023844,0.6654691494023844
Gulliver_9,9,0.3268,0.1018,0.032,-0.179,0.25,29.12,15.56,0.0177827941003892,<0.1,8.18075606367425,-0.026754513731657072,0.026754513731657072
Ruprecht_60,13,0.3588,0.1023,0.0,-0.085,0.172,32.38,26.03,0.9772367059324804,0.5-1,10.176966890733027,-0.49383041834579106,0.49383041834579106
NGC_6444,4,0.3818,0.1023,0.0419,0.025,0.281,3.93,24.7,0.1778279410038923,0.1-0.3,6.226026132051381,-0.10938960208336161,0.10938960208336161
BH_90,5,0.3852,0.1024,0.0726,-0.049,0.255,12.71,25.36,0.1258926517592568,0.1-0.3,7.95647621438197,-0.04940432770437901,0.04940432770437901
Ruprecht_145,16,0.3236,0.1027,0.0693,-0.07,0.174,-25.97,33.84,0.8128302305789092,0.5-1,7.548939639174543,-0.06525820145881614,0.06525820145881614
UBC_620,9,0.473,0.1027,0.0,-0.082,0.157,41.2,26.98,0.0501187013514281,<0.1,9.481762533616969,-0.061700197396001424,0.061700197396001424
UBC_280,17,0.4545,0.1028,0.0673,0.041,0.193,2.01,19.45,0.0512861429039393,<0.1,7.369249078046745,-0.006852141773621739,0.006852141773621739
