MAIN RUN: 8000 simulations
  to do: 8000 simulations across 4 workers
    7025/8000  elapsed=920s  rate=7.64/s  ETA=128s
    7050/8000  elapsed=923s  rate=7.64/s  ETA=124s
    7075/8000  elapsed=926s  rate=7.64/s  ETA=121s
    7100/8000  elapsed=929s  rate=7.64/s  ETA=118s
    7125/8000  elapsed=933s  rate=7.64/s  ETA=115s
    7150/8000  elapsed=936s  rate=7.64/s  ETA=111s
    7175/8000  elapsed=939s  rate=7.64/s  ETA=108s
    7200/8000  elapsed=942s  rate=7.64/s  ETA=105s
    7225/8000  elapsed=946s  rate=7.64/s  ETA=101s
    7250/8000  elapsed=948s  rate=7.64/s  ETA=98s
    7275/8000  elapsed=952s  rate=7.64/s  ETA=95s
    7300/8000  elapsed=955s  rate=7.65/s  ETA=92s
    7325/8000  elapsed=959s  rate=7.64/s  ETA=88s
    7350/8000  elapsed=962s  rate=7.64/s  ETA=85s
    7375/8000  elapsed=965s  rate=7.64/s  ETA=82s
    7400/8000  elapsed=968s  rate=7.64/s  ETA=79s
    7425/8000  elapsed=971s  rate=7.65/s  ETA=75s
    7450/8000  elapsed=975s  rate=7.64/s  ETA=72s
    7475/8000  elapsed=977s  rate=7.65/s  ETA=69s
    7500/8000  elapsed=981s  rate=7.64/s  ETA=65s
    7525/8000  elapsed=985s  rate=7.64/s  ETA=62s
    7550/8000  elapsed=987s  rate=7.65/s  ETA=59s
    7575/8000  elapsed=991s  rate=7.64/s  ETA=56s
    7600/8000  elapsed=994s  rate=7.65/s  ETA=52s
    7625/8000  elapsed=998s  rate=7.64/s  ETA=49s
    7650/8000  elapsed=1000s  rate=7.65/s  ETA=46s
    7675/8000  elapsed=1004s  rate=7.65/s  ETA=42s
    7700/8000  elapsed=1006s  rate=7.65/s  ETA=39s
    7725/8000  elapsed=1010s  rate=7.65/s  ETA=36s
    7750/8000  elapsed=1014s  rate=7.64/s  ETA=33s
    7775/8000  elapsed=1016s  rate=7.65/s  ETA=29s
    7800/8000  elapsed=1020s  rate=7.65/s  ETA=26s
